626 x 3 sparse matrix, nnz = 19
(1,0)	396181.5018993429
(2,0)	13206.050063311433
(3,0)	1329.4681271790032
(4,0)	44020.166877704774
(558,0)	4940.49462744227
(562,0)	62662.84599504448
(5,1)	20689.049503315084
(6,1)	3517.1384155635646
(7,1)	3517.1384155635646
(8,1)	1256.1208627012732
(557,1)	4384.2358951143115
(9,2)	2010.5796393335497
(10,2)	4386.719213091381
(11,2)	3711.839334154245
(12,2)	984.773700898065
(560,2)	6249.3024243344635
(561,2)	3380.8597821190006
(563,2)	1094.9375430726304
(564,2)	1153.946153178341
