id,name,latitude,longitude
AKL,Auckland,-36.87,174.77
BHE,Blenheim,-41.51,173.95
CHC,Christchurch,-43.53,172.63
DUD,Dunedin,-45.87,170.5
GIS,Gisborne,-38.65,178.0
GMN,Greymouth,-42.45,171.21
HAW,Hawera,-39.59,174.28
HLZ,Hamilton,-37.78,175.28
IVC,Invercargill,-46.43,168.36
KBZ,Kaikoura,-42.4,173.68
KKE,Kerikeri,-35.22,173.97
LVN,Levin,-40.63,175.28
MON,Mount Cook,-43.73,170.1
MRO,Masterton,-40.96,175.66
NPE,Napier,-39.48,176.92
NPL,New Plymouth,-39.07,174.08
NSN,Nelson,-41.27,173.28
PMR,Palmerston North,-40.35,175.62
TEU,Te Anau,-45.41,167.72
TIU,Timaru,-44.4,171.26
TKZ,Tokoroa,-38.23,175.87
TMZ,Thames,-37.13,175.53
TRG,Tauranga,-37.69,176.17
TUO,Taupo,-38.68,176.08
ROT,Rotorua,-38.14,176.25
WHK,Whakatane,-37.98,177.0
WHO,Franz Josef,-43.35,170.17
WLG,Wellington,-41.3,174.78
WSZ,Westport,-41.75,171.58
ZWG,Whanganui,-39.93,175.05
WRE,Whangarei,-35.72,174.32
ZTR,Turangi,-39.0,175.93
ZOT,Otira,-42.78,171.54
ZHT,Haast,-43.88,169.06
ZHS,Hanmer Springs,-42.54,172.78
ZQN,Queenstown,-45.02,168.69
