%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
0,0,1.775,0.94897,3.0656
1,0,1.775,0.94897,3.0656
2,0,1.775,0.94897,3.0656
3,1,0.625,0.21848,1.9034
4,1,0.875,0.36602,2.2774
5,1,0.975,0.41895,2.3342
6,1,1.075,0.47188,2.391
7,1,1.225,0.50227,2.523
8,2,0.295,0.044394,0.3
9,2,0.295,0.044394,0.3
10,3,1.525,1.0351,3.3534
11,3,1.525,1.0351,3.3534
12,4,0.7,0.21718,5.4121
13,4,0.76667,0.24843,5.6634
14,4,0.9,0.31091,6.1662
15,4,0.24,0.085229,1.564
16,4,0.02,0.01,0.03
17,5,0.14,0.1,0.24
18,5,0.4,0.1,0.4
19,5,0.4,0.1,0.4
20,5,0.4,0.1,0.4
21,5,0.17,0.12,0.23
22,5,0.35,0.21,0.49
23,5,0.43,0.39,0.72
24,5,0.4,0.1,0.4
25,5,0,0,0
26,5,0,0,0
27,5,0.3,0.2,0.4
28,5,0.1,0.05,0.14
29,5,0.1,0.005,0.2
30,5,0.13,0.07,0.8
31,5,0.09,0.07,0.13
32,5,0.13,0.1,0.16
33,5,0.34,0.2,0.49
34,6,0.8,0.6,1
35,6,0.03,0.02,0.04
36,6,0.65,0.43,0.87
37,6,0.76,0.078042,2.2134
38,6,0.7,0.020367,4.5554
39,6,0.04,0.02,0.1
40,6,0.19,0.05,0.19
41,6,0.2,0.1,0.3
42,6,0.16,0.1,0.3
43,6,0.07,0.01,0.13
44,6,0.5,0.2,0.8
45,6,0.03,0.01,0.05
46,6,0.05,0.04,0.07
47,6,0,0,0
48,6,0,0,0
49,6,0,0,0
50,6,0,0,0
51,6,2,1.55,2.55
52,7,0,0,0
53,7,2.7,2.05,3.4
54,7,2.1,1.55,2.6
55,8,2.25,1.7,2.8
56,8,1.95,1.45,2.45
57,8,4.25,1.6482,4.7937
58,8,6.275,2.8723,8.4326
59,8,4.85,3.0483,8.2778
60,8,6.05,3.3602,7.4593
61,8,4.85,2.8668,6.4286
62,8,1.9833,0.96723,4.5862
63,8,1.1167,0.48502,4.8084
64,8,3.45,2.5901,7.2367
65,8,2.05,1.335,5.9466
66,8,0.85,0.46598,5.1863
67,8,0.85,0.46598,5.1863
68,9,1.125,0.43209,3.3001
69,9,1.125,0.43209,3.3001
70,9,1.05,0.47168,3.6788
71,9,1.05,0.47168,3.6788
72,9,1.05,0.47168,3.6788
73,9,0.65,0.20903,3.9083
74,9,0.65,0.20903,3.9083
75,9,0.65,0.20903,3.9083
76,10,0.425,0.17396,2.009
77,10,0.575,0.21302,2.03
78,10,0.9,0.37181,2.2831
79,10,1.625,0.8179,2.878
80,10,2.175,1.1443,3.2408
81,11,1.05,0.45204,3.529
82,11,0.85,0.42083,3.5252
83,12,0.475,0.20912,2.3642
84,12,0.475,0.20912,2.3642
85,13,19.05,15.796,21.14
86,13,19.05,15.796,21.14
87,13,18.75,15.147,20.217
88,13,18.75,15.147,20.217
89,14,20.35,16.745,22.587
90,14,20.35,16.745,22.587
91,14,20.05,17.07,21.977
92,14,20.05,17.07,21.977
93,15,19.3,14.287,22.331
94,15,18.5,14.853,22.606
95,15,18.1,15.135,22.743
96,16,3.1,1.4457,6.7758
97,16,3.1,1.4457,6.7758
98,16,5.3,1.1778,6.6519
99,17,24.95,21.481,26.646
100,17,24.883,21.513,26.518
101,17,24.75,21.577,26.262
102,17,24.65,22.573,26.253
103,17,25.15,23.407,26.668
104,17,25.25,22.964,26.656
105,17,25.45,22.079,26.631
106,17,25.717,22.259,26.879
107,17,26.25,22.62,27.375
108,17,28.65,25.536,29.766
109,17,28.583,24.886,29.664
110,17,28.45,23.587,29.461
111,17,28.65,24.425,29.694
112,17,29.05,26.1,30.159
113,17,28.983,26.006,30.23
114,17,28.95,25.958,30.265
115,17,29.15,25.897,30.375
116,17,29.35,25.837,30.484
117,17,28.85,25.962,30.389
118,17,28.85,25.962,30.389
119,18,24.925,23.491,26.197
120,18,1.25,0.95,1.55
121,18,24.275,23.29,25.559
122,18,0.25,0.2,0.35
123,18,2.75,2.05,3.4
124,18,0.1,0.05,0.2
125,18,0.15,0.1,0.2
126,18,1.4,1.05,1.7
127,18,0.1,0.05,0.2
128,18,2.7,2.05,3.4
129,18,2.3,1.75,2.9
130,18,1.1,0.8,1.4
131,18,1.5,1.15,1.95
132,18,2.7,2.05,3.4
133,18,1.2,0.9,1.5
134,18,30.475,29.516,31.591
135,18,15.438,14.908,16.046
136,18,1.2,0.9,1.5
137,18,2.7,2.05,3.4
138,18,2.6,1.95,3.25
139,18,0.1,0.05,0.3
140,18,1.5,0.5,1.9
141,18,0.25,0.2,0.3
142,18,1.1,0.95,1.4
143,18,1.2,0.93,1.56
144,18,1.7,1.3,2.2
145,18,2.3,1.7,2.9
146,18,0.1,0.05,0.35
147,18,0.7,0.4,0.85
148,18,21.375,20.247,22.422
149,18,21.375,20.247,22.422
150,19,11.85,9.88,13.031
151,19,11.85,9.88,13.031
152,19,15.425,13.798,16.566
153,19,15.425,13.798,16.566
154,19,15.425,13.798,16.566
155,19,16.525,14.719,17.565
156,19,16.525,14.719,17.565
157,19,18.975,17.825,20.438
158,19,18.975,17.825,20.438
159,19,18.275,17.311,20.01
160,19,18.275,17.311,20.01
161,19,18.175,17.083,20.079
162,19,18.175,17.083,20.079
163,19,16.725,15.758,18.313
164,19,10.225,8.6801,11.084
165,19,10.225,8.6801,11.084
166,20,19.7,15.486,23.353
167,20,19.7,15.486,23.353
168,21,1.75,0.8497,4.5927
169,21,1.8,1,2.5
170,22,0.75,0.65,0.9
171,22,0.45,0.3,0.6
172,22,0.81,0.7,0.92
173,22,0.65,0.5,0.85
174,22,2.2,1.5,2.8
175,22,0.7,0.6,0.85
176,22,0,0,0
177,22,0.2,0.05,0.3
178,22,0.35,0.3,0.4
179,23,1.8,1.6,2
180,23,1.5,1.1,1.8
181,23,1,0.5,2.5
182,23,3.2,2.5,4
183,23,2,1,3
184,23,1.8,0.9,2.7
185,23,0.5,0.4,1
186,23,1.3,0.7,2.7
187,23,2.6,1.2,4
188,23,1.26,1.06,1.38
189,23,13.217,9.7616,16.943
190,24,7.875,6.4996,9.3428
191,24,7.125,5.8385,8.5843
192,24,5.875,4.7085,7.3105
193,24,5.375,4.2396,6.7954
194,24,3.175,2.337,5.1508
195,24,3.225,1.9243,4.5027
196,24,4.475,3.356,5.807
197,24,5.175,4.0965,7.0427
198,24,5.175,4.0965,7.0427
199,24,5.375,4.1641,6.6265
200,24,5.375,4.1641,6.6265
201,24,4.775,3.5763,5.9656
202,24,4.4,3.1018,5.6095
203,25,0.25,0.10807,3.1826
204,25,0.31667,0.1306,3.4116
205,25,0.45,0.17566,3.8696
206,25,0.8,0.43529,4.6197
207,25,1.15,0.69491,5.3699
208,25,0.95,0.50225,5.2327
209,25,0.75,0.3096,5.0956
210,25,1.5,0.7976,6.6031
211,26,2.15,0.546,5.4152
212,26,2.7,0.51584,5.5221
213,26,3.15,0.49106,5.1101
214,26,3.05,0.49644,4.5911
215,26,2.125,0.61733,5.656
216,26,1.7,1.3,2.1
217,26,0.5,0.3,0.7
218,26,1.8,1.3,2.3
219,26,1.8,1.3,2.3
220,26,0.6,0.2,1
221,26,0.23,0.2,0.42
222,26,1.9,1.4,2.4
223,26,0.8,0.5,1.1
224,26,1.3,0.9,1.7
225,26,0.8,0.5,1.1
226,26,1.8,1.3,2.3
227,26,0.6,0.3,0.9
228,26,0.18,0.15,0.33
229,27,0.17,0.14,0.31
230,27,0.14,0.11,0.17
231,27,0.21,0.18,0.24
232,27,0.5,0.4,0.6
233,27,0.7,0.5,1
234,27,0.2,0.1,0.5
235,27,0,0,0
236,27,0.48,0.38,0.59
237,27,2.9,2.1,3.8
238,27,0,0,0
239,27,0.29,0.25,0.33
240,27,3.55,0.72997,5.8383
241,27,2.9,0.87244,5.4456
242,27,2.25,1.0149,5.0529
243,27,2.95,0.99879,5.7335
244,27,2.75,1.0191,6.5054
245,27,2.75,1.0191,6.5054
246,28,0.225,0.079531,1.6174
247,28,0.225,0.079531,1.6174
248,29,0.0915,0.032148,0.16027
249,29,0.0915,0.032148,0.16027
250,30,0.45,0.16622,4.3824
251,30,0.75,0.31637,4.6037
252,30,1.05,0.46652,4.8249
253,31,0.65,0.29306,4.79
254,31,0.91667,0.4275,4.9418
255,31,0.35,0.10618,3.1546
256,32,0.9,0.31994,7.8384
257,32,0.4,0.1,0.72
258,33,0.7,0.3,1.13
259,33,0.55,0.4,0.72
260,33,0.25,0.1,0.4
261,34,0.25,0.1,0.4
262,34,0.7,0.5,0.9
263,34,0.7,0.5,0.9
264,35,1.1,0.7,1.5
265,35,1.1,0.7,1.5
266,35,1.1,0.7,1.5
267,35,0.35,0.127,3.5594
268,35,0.25,0.087873,3.4551
269,35,0.25,0.085615,3.4736
270,36,2.7,0.85462,7.9586
271,36,2.7,0.85462,7.9586
272,36,2.7,0.85462,7.9586
273,36,2.7,0.85462,7.9586
274,36,2.7,0.85462,7.9586
275,36,4.9,0.86501,7.9014
276,36,4.9,0.86501,7.9014
277,36,4.9,0.86501,7.9014
278,36,4.9,0.86501,7.9014
279,36,2.9,0.6179,7.8717
280,36,2.9,0.6179,7.8717
281,36,6,4.5,7.5
282,36,12.1,9.1,15
283,36,11,8,12
284,37,11,8,12
285,37,6.3,4.4,8.2
286,37,6.9,5,8.8
287,37,5.5,3.4,7.6
288,37,1.5,0.069124,8.6326
289,37,1.5,0.069124,8.6326
290,37,1.5,0.069124,8.6326
291,37,1.5,0.069124,8.6326
292,37,1.3,0.55511,8.4761
293,37,1.3,0.55511,8.4761
294,37,1.3,0.55511,8.4761
295,37,1.3,0.55511,8.4761
296,37,1.3,0.55511,8.4761
297,37,3.15,0.3012,8.8347
298,37,3.15,0.3012,8.8347
299,37,3.15,0.3012,8.8347
300,37,2.625,0.27412,8.6518
301,37,2.1,0.24705,8.4688
302,37,2.1,0.24705,8.4688
303,37,2.1,0.24705,8.4688
304,37,2.1,0.24705,8.4688
305,37,1.5,0.40267,8.4191
306,37,0.9,0.5583,8.3693
307,37,0.9,0.5583,8.3693
308,37,0.9,0.5583,8.3693
309,37,0.9,0.5583,8.3693
310,38,8.25,1.4678,9.7225
311,38,8.25,1.4678,9.7225
312,38,8.25,1.4678,9.7225
313,38,8.25,1.4678,9.7225
314,38,8.55,1.4778,9.8996
315,38,8.55,1.4778,9.8996
316,38,8.55,1.4778,9.8996
317,38,8.55,1.4778,9.8996
318,38,4.775,0.98892,5.6998
319,38,2.5,1.5,3.5
320,38,1.5,1,2
321,38,3.5,2.5,4.5
322,38,5,4,6
323,38,1.5,1,2
324,38,0,0,0
325,38,0.2,0.1,0.3
326,38,0.6,0.3,0.9
327,38,0.1,0.05,0.15
328,38,2.5,1.5,3.5
329,38,1.4,0.6,2.4
330,38,1.5,1,2
331,38,1.5,1,2
332,38,9.45,1.2475,9.8708
333,38,9.15,1.9286,10
334,38,9.15,1.9286,10
335,38,9.15,1.9286,10
336,38,9.15,1.9286,10
337,38,9.15,1.2293,9.6927
338,38,9.15,1.2293,9.6927
339,38,9.15,1.2293,9.6927
340,38,9.15,1.2293,9.6927
341,38,9.15,1.2293,9.6927
342,38,9.75,1.3967,9.7646
343,38,9.75,1.3967,9.7646
344,38,9.75,1.3967,9.7646
345,38,9.75,1.3967,9.7646
346,38,9.75,1.3967,9.7646
347,39,4.55,3.4693,7.1621
348,39,4.55,3.4693,7.1621
349,39,4.95,3.8904,7.6787
350,39,5.35,4.3115,8.1954
351,39,5.35,4.3115,8.1954
352,39,5.65,4.5822,7.9394
353,39,5.65,4.5822,7.9394
354,39,6.55,5.3838,9.7579
355,39,6.55,5.3838,9.7579
356,39,5.975,4.8741,7.626
357,39,5.975,4.8741,7.626
358,39,5.975,4.8741,7.626
359,39,4.55,3.5688,6.7256
360,39,4.55,3.5688,6.7256
361,40,6.45,3.0873,7.8259
362,40,6.45,3.0873,7.8259
363,40,8.05,3.5183,9.0443
364,40,8.05,3.5183,9.0443
365,41,1.025,0.52727,3.3905
366,41,1.025,0.52727,3.3905
367,41,1.75,1.0113,3.9593
368,41,1.75,1.0113,3.9593
369,41,2.15,1.4086,4.4456
370,41,2.5,1.6762,4.6929
371,41,2.85,1.9439,4.9403
372,41,3.75,2.7813,5.7269
373,41,3.5875,2.6673,5.5464
374,41,3.425,2.5533,5.366
375,41,3.4375,2.4892,5.4069
376,41,3.45,2.4251,5.4477
377,41,3.55,2.5351,6.0805
378,41,3.2375,2.2797,5.3447
379,41,2.925,2.0242,4.6089
380,41,2.9375,1.8976,4.7762
381,41,2.95,1.771,4.9435
382,42,0.45,2.7331e-12,2.9862
383,42,0.35,1.4695e-07,3.1531
384,42,0.25,2.939e-07,3.3199
385,42,0.15,2.3269e-07,3.1433
386,42,0.05,1.7148e-07,2.9667
387,42,0.05,1.7148e-07,2.9667
388,42,0.65,8.3803e-13,3.2419
389,42,0.65,8.3803e-13,3.2419
390,42,0.65,8.3803e-13,3.2419
391,42,0.05,1.6072e-07,3.3167
392,42,0.05,1.6072e-07,3.3167
393,42,0.05,1.6072e-07,3.3167
394,43,0.75,8.6204e-08,3.9508
395,43,0.75,8.6204e-08,3.9508
396,43,0.75,8.6204e-08,3.9508
397,43,0.75,8.6204e-08,3.9508
398,43,1.05,0.1591,3.1009
399,43,1.05,0.1591,3.1009
400,43,1.2,0.09616,3.5478
401,43,1.35,0.03322,3.9948
402,43,1.45,0.01661,4.3951
403,43,1.55,1.2099e-07,4.7954
404,43,1.55,1.2099e-07,4.7954
405,43,1.05,0.21728,3.5065
406,43,1.05,0.21728,3.5065
407,44,1.205,0.56265,1.8698
408,44,0.2,0.1,0.3
409,44,0.47,0.16037,0.77809
410,45,0.15,0.060268,2.6158
411,45,0.15,0.060268,2.6158
412,45,0.15,0.060268,2.6158
413,46,2.95,1.9433,5.7034
414,46,2.95,1.9433,5.7034
415,46,2.75,1.653,5.0291
416,47,2.025,1.1791,2.8748
417,47,6.575,4.7796,7.3483
418,47,7.75,5.6716,8.4119
419,47,9.05,7.1542,9.4705
420,47,9.675,7.9872,9.8685
421,48,0.31,0.093043,0.71519
422,48,0.35,0.092507,0.67965
423,48,0.41,0.14068,0.76122
424,48,0.39,0.13422,0.75931
425,48,0.42,0.15926,0.78303
426,48,0.4075,0.15444,0.73983
427,48,0.345,0.11501,0.68176
428,48,0.385,0.21104,0.76036
429,48,0.385,0.21104,0.76036
430,49,0.45,0.18024,0.79359
431,49,0.49,0.18676,0.80252
432,49,0.53,0.19327,0.81146
433,50,0.55,0.20335,0.81796
434,50,0.55,0.20335,0.81796
435,50,0.44333,0.16198,0.76149
436,50,0.41667,0.15489,0.75455
437,50,0.47,0.18206,0.79715
438,51,0.675,0.22834,2.8289
439,51,0.575,0.20745,2.6499
440,51,0.375,0.16566,2.2917
441,51,0.45,0.19583,2.3999
442,51,0.525,0.226,2.5081
443,52,0.2,0.041987,3.2149
444,52,0.65,0.015278,3.5862
445,52,0.675,0.13224,3.3808
446,52,0.05,0.048889,2.6271
447,52,0.3625,0.024445,2.5999
448,52,0.9125,9.1547e-08,2.8128
