%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
0,0,1.775,0.94897,3.0656
1,0,1.775,0.94897,3.0656
2,1,0.625,0.21848,1.9034
3,1,0.955,0.40836,2.3228
4,1,1.1875,0.49467,2.49
5,2,0.295,0.044394,0.3
6,2,0.295,0.044394,0.3
7,3,1.525,1.0351,3.3534
8,3,1.525,1.0351,3.3534
9,4,0.7,0.21718,5.4121
10,4,0.9,0.31091,6.1662
11,4,0.9,0.2908,7.0306
12,5,0.23,0.21,0.32
13,5,0.35,0.26,0.57
14,5,0.4,0.31,0.65
15,5,0.02,0.01,0.03
16,5,0.02,0.01,0.03
17,5,0.14,0.1,0.24
18,5,0.4,0.1,0.4
19,5,0.4,0.1,0.4
20,5,0.4,0.1,0.4
21,6,0.17,0.12,0.23
22,6,0.35,0.21,0.49
23,6,0.43,0.39,0.72
24,6,0.4,0.1,0.4
25,6,0,0,0
26,6,0,0,0
27,6,0.3,0.2,0.4
28,6,0.1,0.05,0.14
29,6,0.1,0.005,0.2
30,7,0.195,0.060662,1.1865
31,7,0.36,0.12393,1.4526
32,8,0.13,0.1,0.16
33,8,0.34,0.2,0.49
34,8,0.8,0.6,1
35,8,0.03,0.02,0.04
36,8,0.65,0.43,0.87
37,8,0.17,0.13,0.21
38,8,0.02,0.02,0.02
39,8,0.04,0.02,0.1
40,8,0.19,0.05,0.19
41,8,0.2,0.1,0.3
42,9,0.16,0.1,0.3
43,9,0.07,0.01,0.13
44,9,0.5,0.2,0.8
45,9,0.03,0.01,0.05
46,9,0.05,0.04,0.07
47,10,0.575,0.21302,2.03
48,10,0.9,0.37181,2.2831
49,10,1.625,0.8179,2.878
50,10,2.175,1.1443,3.2408
51,11,1.05,0.45204,3.529
52,11,0.85,0.42083,3.5252
53,12,0.475,0.20912,2.3642
54,12,0.475,0.20912,2.3642
55,13,19.05,15.796,21.14
56,13,18.75,15.147,20.217
57,14,20.35,16.745,22.587
58,14,20.25,16.854,22.384
59,14,20.05,17.07,21.977
60,15,19.3,14.287,22.331
61,15,18.1,15.135,22.743
62,16,3.1,1.4457,6.7758
63,16,5.3,1.1778,6.6519
64,17,24.883,21.513,26.518
65,17,24.675,22.324,26.255
66,17,24.9,22.99,26.461
67,17,25.375,22.411,26.641
68,17,25.983,22.44,27.127
69,17,28.65,25.536,29.766
70,17,28.6,24.215,29.636
71,17,29.025,26.065,30.186
72,17,28.95,25.958,30.265
73,17,29.35,25.837,30.484
74,17,28.85,25.962,30.389
75,18,24.925,23.491,26.197
76,18,24.275,23.29,25.559
77,18,24.925,24.064,26.343
78,18,24.65,23.725,25.891
79,18,24.775,23.918,26.069
80,18,25.025,24.119,26.21
81,18,25.275,24.319,26.352
82,18,28.325,27.393,29.498
83,18,29.725,28.775,30.854
84,18,30.525,29.514,31.643
85,18,30.475,29.516,31.591
86,18,30.3,29.287,31.437
87,18,30.125,29.057,31.283
88,18,29.975,28.784,30.838
89,18,29.725,28.69,30.797
90,18,28.925,27.892,29.921
91,18,24.925,23.743,25.891
92,18,23.85,22.68,24.871
93,18,22.775,21.617,23.851
94,18,22.275,21.236,23.378
95,18,21.375,20.247,22.422
96,19,11.85,9.88,13.031
97,19,15.425,13.798,16.566
98,19,15.425,13.798,16.566
99,19,16.525,14.719,17.565
100,19,18.975,17.825,20.438
101,19,18.625,17.568,20.224
102,19,18.275,17.311,20.01
103,19,18.175,17.083,20.079
104,19,16.725,15.758,18.313
105,19,10.225,8.6801,11.084
106,20,19.7,15.486,23.353
107,20,19.7,15.486,23.353
108,21,0.75,0.55,0.95
109,21,1.75,0.8497,4.5927
110,22,0.45,0.35,0.55
111,22,0.7,0.55,0.9
112,22,0.75,0.55,0.95
113,22,1.1,0.85,1.4
114,22,1.4,1.1,1.85
115,22,11.367,8.5153,12.315
116,23,1.1,0.85,1.4
117,23,4.1,3.1,5.15
118,23,1.1,0.8,1.4
119,23,2,1.5,2.5
120,23,1.25,0.95,1.55
121,23,0.6,0.45,0.75
122,23,0.25,0.2,0.35
123,23,2.75,2.05,3.4
124,24,7.125,5.8385,8.5843
125,24,5.875,4.7085,7.3105
126,24,3.2,2.1307,4.8268
127,24,3.85,2.6401,5.1548
128,24,5.275,4.1303,6.8346
129,24,5.075,3.8702,6.2961
130,24,4.4,3.1018,5.6095
131,25,0.25,0.10807,3.1826
132,25,0.35,0.14187,3.5261
133,25,0.8,0.43529,4.6197
134,25,1.15,0.69491,5.3699
135,25,0.75,0.3096,5.0956
136,25,1.5,0.7976,6.6031
137,26,2.7,2.05,3.4
138,26,2.6,1.95,3.25
139,26,0.1,0.05,0.3
140,26,1.5,0.5,1.9
141,26,0.25,0.2,0.3
142,26,1.1,0.95,1.4
143,26,1.2,0.93,1.56
144,26,1.7,1.3,2.2
145,26,2.3,1.7,2.9
146,26,0.1,0.05,0.35
147,27,0.7,0.4,0.85
148,27,0.3,0.1,0.5
149,27,0.2,0.1,0.4
150,27,0.6,0.3,0.8
151,27,1.1,0.81,1.35
152,27,0.05,0.04,0.07
153,27,0.42,0.32,0.53
154,27,1,0.75,1.25
155,27,0.8,0.4,1.4
156,27,0.9,0.8,1.05
157,28,0.225,0.079531,1.6174
158,28,0.225,0.079531,1.6174
159,29,0.0915,0.032148,0.16027
160,29,0.0915,0.032148,0.16027
161,30,0.45,0.16622,4.3824
162,30,0.75,0.31637,4.6037
163,30,1.05,0.46652,4.8249
164,31,0.65,0.29306,4.79
165,31,0.91667,0.4275,4.9418
166,31,0.35,0.10618,3.1546
167,32,0.9,0.31994,7.8384
168,32,0.8,0.28019,7.4255
169,32,0.7,0.24044,7.0126
170,33,0.35,0.14874,3.2479
171,33,0.35,0.11163,2.7719
172,34,0.55,0.19321,0.90335
173,34,0.53,0.17658,0.89803
174,35,0.45,0.19797,3.1927
175,35,0.35,0.14094,3.1521
176,35,0.5,0.18079,3.8271
177,35,0.25,0.087873,3.4551
178,35,0.25,0.085615,3.4736
179,36,1.8,1.6,2
180,36,1.5,1.1,1.8
181,36,1,0.5,2.5
182,36,3.2,2.5,4
183,36,2,1,3
184,36,1.8,0.9,2.7
185,37,0.5,0.4,1
186,37,1.3,0.7,2.7
187,37,2.6,1.2,4
188,37,1.26,1.06,1.38
189,37,1.7,1.48,1.92
190,37,0.51,0.44,0.58
191,37,0.25,0.21,0.28
192,37,0.3,0.2,0.7
193,37,2.2,2,2.5
194,38,0.09,0.08,0.1
195,38,0.09,0.08,0.11
196,38,0.23,0.2,0.26
197,38,0.68,0.28,1.09
198,38,0.4,0.35,0.46
199,38,0.6,0.5,0.8
200,38,0.2,0.15,0.27
201,38,0.43,0.37,0.48
202,38,0.7,0.5,0.9
203,38,0.5,0.4,0.6
204,38,1.7,1.4,2
205,38,0.55,0.4,0.7
206,38,2.3,1.1,2.4
207,39,4.55,3.4693,7.1621
208,39,4.95,3.8904,7.6787
209,39,5.35,4.3115,8.1954
210,39,5.65,4.5822,7.9394
211,39,6.55,5.3838,9.7579
212,39,5.975,4.8741,7.626
213,39,5.975,4.8741,7.626
214,39,4.55,3.5688,6.7256
215,40,6.45,3.0873,7.8259
216,40,8.05,3.5183,9.0443
217,41,1.025,0.52727,3.3905
218,41,1.75,1.0113,3.9593
219,41,2.15,1.4086,4.4456
220,41,3.15,2.2231,5.2025
221,41,3.5875,2.6673,5.5464
222,41,3.4375,2.4892,5.4069
223,41,3.55,2.5351,6.0805
224,41,2.925,2.0242,4.6089
225,41,2.95,1.771,4.9435
226,42,1.8,1.3,2.3
227,42,0.6,0.3,0.9
228,42,0.18,0.15,0.33
229,42,0.17,0.14,0.31
230,42,0.14,0.11,0.17
231,42,0.21,0.18,0.24
232,43,0.5,0.4,0.6
233,43,0.7,0.5,1
234,43,0.2,0.1,0.5
235,43,0,0,0
236,43,0.48,0.38,0.59
237,43,2.9,2.1,3.8
238,43,0,0,0
239,44,0.43,0.137,0.75238
240,44,0.47,0.16037,0.77809
241,45,0.15,0.060268,2.6158
242,45,0.15,0.060268,2.6158
243,46,2.95,1.9433,5.7034
244,46,2.75,1.653,5.0291
245,47,0.68,0.49,0.87
246,47,0.2,0.1,0.5
247,47,0.63,0.3,0.7
248,47,0.2,0.18,1.53
249,48,0.33,0.092775,0.69742
250,48,0.39,0.12462,0.73403
251,48,0.43,0.16405,0.7786
252,48,0.345,0.11501,0.68176
253,48,0.385,0.21104,0.76036
254,49,0.45,0.18024,0.79359
255,49,0.49,0.18676,0.80252
256,50,0.55,0.20335,0.81796
257,50,0.454,0.16612,0.76714
258,50,0.45,0.17187,0.78117
259,51,0.675,0.22834,2.8289
260,51,0.375,0.16566,2.2917
261,51,0.525,0.226,2.5081
262,52,0.7,0.5,0.9
263,52,0.7,0.5,0.9
264,52,1.1,0.7,1.5
265,52,1.1,0.7,1.5
266,52,1.1,0.7,1.5
267,52,2.2,1.3,3.1
268,53,0.075,0.028376,1.3369
269,53,0.075,0.028376,1.3369
270,54,0.885,0.31533,1.661
271,54,0.3675,0.13506,1.4481
272,54,0.2925,0.11673,1.4592
273,54,0.585,0.24199,1.7055
274,55,0.48,0.1768,0.79633
275,55,0.49667,0.18422,0.80159
276,55,0.47,0.18835,0.79951
277,56,0.775,0.3657,2.1998
278,56,2.325,1.6911,4.533
279,57,0.49,0.21566,0.80648
280,57,0.39,0.1266,0.74118
281,58,0.61,0.23759,1.127
282,58,0.57,0.21425,1.1074
283,58,0.53,0.17448,1.0422
284,58,0.5575,0.17482,1.0837
285,59,0.8375,0.31508,2.8793
286,59,0.905,0.38057,2.8438
287,60,0.825,0.31978,2.9657
288,60,0.825,0.31978,2.9657
289,61,4.25,3.2427,7.1498
290,61,4.05,3.2117,7.0028
291,61,4.35,3.4521,7.268
292,61,4.6,3.6654,7.3198
293,61,4.85,3.8788,7.3716
294,61,3.65,2.8423,6.3617
295,61,3.05,2.2071,5.7831
296,61,2.3,1.483,4.9309
297,61,1.35,0.68126,4.1393
298,61,1.35,0.68126,4.1393
299,62,4.625,3.7157,6.163
300,62,4.625,3.7157,6.163
301,62,4.375,3.4613,5.9812
302,62,4.125,3.2068,5.7994
303,63,0.63,0.25249,0.95715
304,63,0.57,0.20486,0.92134
305,63,0.5,0.18889,0.91796
306,63,0.43,0.14834,0.86929
307,63,0.47,0.17158,0.88904
308,64,0.575,0.40579,2.8209
309,64,0.6,0.44932,2.4953
310,64,0.44167,0.33854,1.9329
311,64,0.075,0.029898,1.4592
312,65,1.125,0.61215,3.2541
313,65,1.125,0.61215,3.2541
314,65,0.125,0.043115,1.6746
315,65,0.125,0.043115,1.6746
316,66,0.5,0.25,0.75
317,66,1.5,1,3
318,67,1.95,1.1965,5.8008
319,67,1.6,0.92323,5.4109
320,67,1.25,0.64993,5.021
321,68,0.37,0.10409,0.72698
322,68,0.37667,0.11404,0.73525
323,68,0.39,0.13393,0.75179
324,69,0.55,0.19464,3.2602
325,69,0.55,0.19464,3.2602
326,70,0.555,0.15919,1.575
327,70,0.555,0.15919,1.575
328,71,0.25,0.086748,4.2134
329,71,0.25,0.082121,4.2665
330,71,0.3,0.096631,4.3732
331,71,0.325,0.10741,4.4489
332,71,0.25,0.089285,4.4357
333,72,3.225,2.4034,4.9357
334,72,3.6583,2.7604,5.4951
335,72,3.45,2.5679,5.4368
336,72,2.9,2.0648,4.8044
337,72,3.0625,2.1796,4.9996
338,72,3.8875,2.9159,5.8704
339,72,5.175,4.1039,7.1729
340,72,6.3,5.144,8.4845
341,73,0.65,0.26072,4.3607
342,73,0.95,0.41269,4.7426
343,73,1.1,0.53134,4.6928
344,73,1.25,0.66886,4.5596
345,73,2.45,1.7611,6.02
346,73,4.65,3.7576,8.3709
347,73,5.2167,4.2475,8.8498
348,73,6.4,5.4913,10.075
349,73,6.85,5.9842,10.68
350,73,6.45,5.6593,10.372
351,74,1.4,0.6679,2.6908
352,74,1.4125,0.76551,2.5886
353,74,1.5917,0.89727,2.6908
354,74,1.4583,0.83952,2.5726
355,74,1.925,1.0943,2.8046
356,74,1.925,1.0912,2.8283
357,75,0.43,0.18345,0.80713
358,75,0.37,0.11622,0.7049
359,76,1.0583,0.42471,2.788
360,76,2.125,1.4133,4.1643
361,76,2.3,1.5614,3.6793
362,76,1.875,1.2967,3.4088
363,76,2.725,1.7924,3.8135
364,76,2.65,1.7917,3.9512
365,76,1.8083,1.1326,3.3189
366,76,1,0.47982,2.292
367,77,0.05,0.02,0.1
368,77,0,0,0
369,77,0.4,0.2,0.6
370,78,0.3,0.05,0.5
371,78,1,0.5,1.5
372,78,0,0,0
373,78,1.5,1,2
374,78,2.5,1.5,3.5
375,78,0.2,0.05,0.5
376,78,1,0.7,1.3
377,78,0.2,0.1,0.3
378,78,1,0.5,1.5
379,78,2,1,3
380,79,1,0.5,1.5
381,79,1,0.5,1.5
382,79,2,1,3
383,80,1,0.5,1.5
384,80,1,0.5,1.5
385,80,1.5,1,2
386,80,3,2,4
387,81,2.5,1.5,3.5
388,81,0.5,0.25,0.75
389,81,0,0,0
390,81,4,3,5
391,81,0.5,0.3,0.7
392,81,1,0.5,1.5
393,81,0.5,0.25,0.75
394,82,0.25,0.1,0.4
395,82,0.5,0.25,0.75
396,82,2.4,1.5,3
397,82,1.5,0.5,2.5
398,82,1.5,0.5,2
399,82,4,3,5
400,83,1,0.5,1.5
401,83,1,0.5,1.5
402,83,0.1,0.05,0.2
403,83,0.25,0.1,0.4
404,83,4,3,5
405,83,0.2,0.1,0.3
406,84,0.5,0.2,0.8
407,84,2,1,3
408,84,0.2,0.1,0.3
409,84,4,2.5,5.5
410,84,1.5,0.5,2.5
411,85,5,3,7
412,85,1,0.5,1.5
413,85,1.5,0.5,2.5
414,86,0.37,0.099229,0.75898
415,86,0.29,0.073542,0.69283
416,87,0.705,0.19238,1.4147
417,87,0.465,0.13802,1.29
418,87,0.405,0.12572,1.3334
419,87,0.345,0.11342,1.3768
420,88,0.3,0.1,0.5
421,88,0,0,0
422,88,0,0,0
423,88,0,0,0
424,88,0,0,0
425,88,1.5,0.5,2.5
426,88,1.5,0.5,2.5
427,88,1,0.5,1.5
428,88,0,0,0
429,89,2,1,3
430,89,0,0,0
431,90,1,0.5,1.5
432,90,0,0,0
433,91,0.37,0.13164,0.76593
434,91,0.362,0.09502,0.73862
435,91,0.36,0.091987,0.74213
436,91,0.33,0.1116,0.74629
437,92,1.5,0.79388,6.9938
438,92,1.4333,0.76736,6.7163
439,92,1.3,0.71433,6.1611
440,92,0.85,0.56383,4.9253
441,92,0.85,0.56383,4.9253
442,93,0.15,0.033409,2.9732
443,93,0.15,0.033409,2.9732
444,93,0.25,0.14052,2.6016
445,93,0.25,0.14052,2.6016
446,94,6.275,4.9261,7.5055
447,94,6.625,4.9433,7.8224
448,94,5.475,3.9673,6.9545
449,94,5.0417,3.5029,6.3926
450,94,3.875,2.5074,5.4376
451,95,1.4625,0.91983,3.754
452,95,1.6625,1.1598,3.9956
453,95,1.85,1.3665,4.4149
454,95,2.75,2.1787,5.319
455,95,2.75,2.1787,5.319
456,95,3.85,3.0613,6.1581
457,96,8.725,7.5764,10.485
458,96,8.525,7.469,9.9778
459,96,8.225,7.0884,9.5646
