%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model: NZSHM22_RuptureSet-UnVwdHVyZUdlbmVyYXRpb25UYXNrOjc5OTBvWWZMVw
%json files for subsection definitions were obtained form this link, provided by Chris Chamberlain in am email to Kaj Johnson on Feb 4, 2022: http://simple-toshi-ui.s3-website-ap-southeast-2.amazonaws.com/FileDetail/RmlsZToyMjE4My4wUGVpWGE=
%columns indicate:  FaultId, ParentId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
0,0,1.1875,0.49467,2.49
1,0,0.955,0.40836,2.3228
2,0,0.625,0.21848,1.9034
3,1,0.295,0.044394,0.3
4,1,0.295,0.044394,0.3
5,2,1.525,1.0351,3.3534
6,2,1.525,1.0351,3.3534
7,3,0.7,0.21718,5.4121
8,3,0.9,0.31091,6.1662
9,3,0.9,0.2908,7.0306
10,4,0.195,0.060662,1.1865
11,4,0.36,0.12393,1.4526
12,5,0.575,0.21302,2.03
13,5,0.9,0.37181,2.2831
14,5,1.625,0.8179,2.878
15,5,2.175,1.1443,3.2408
16,6,1.05,0.45204,3.529
17,6,0.85,0.42083,3.5252
18,7,0.475,0.20912,2.3642
19,7,0.475,0.20912,2.3642
20,8,19.05,15.796,21.14
21,8,18.75,15.147,20.217
22,9,20.35,16.745,22.587
23,9,20.25,16.854,22.384
24,9,20.05,17.07,21.977
25,10,19.3,14.287,22.331
26,10,18.1,15.135,22.743
27,11,3.1,1.4457,6.7758
28,11,5.3,1.1778,6.6519
29,12,24.883,21.513,26.518
30,12,24.675,22.324,26.255
31,12,24.9,22.99,26.461
32,12,25.375,22.411,26.641
33,12,25.983,22.44,27.127
34,12,28.65,25.536,29.766
35,12,28.6,24.215,29.636
36,12,29.025,26.065,30.186
37,12,28.95,25.958,30.265
38,12,29.35,25.837,30.484
39,12,28.85,25.962,30.389
40,13,24.925,23.491,26.197
41,13,24.275,23.29,25.559
42,13,24.925,24.064,26.343
43,13,24.65,23.725,25.891
44,13,24.775,23.918,26.069
45,13,25.025,24.119,26.21
46,13,25.275,24.319,26.352
47,13,28.325,27.393,29.498
48,13,29.725,28.775,30.854
49,13,30.525,29.514,31.643
50,13,30.475,29.516,31.591
51,13,30.3,29.287,31.437
52,13,30.125,29.057,31.283
53,13,29.975,28.784,30.838
54,13,29.725,28.69,30.797
55,13,28.925,27.892,29.921
56,13,24.925,23.743,25.891
57,13,23.85,22.68,24.871
58,13,22.775,21.617,23.851
59,13,22.275,21.236,23.378
60,13,21.375,20.247,22.422
61,14,11.85,9.88,13.031
62,14,15.425,13.798,16.566
63,14,15.425,13.798,16.566
64,14,16.525,14.719,17.565
65,14,18.975,17.825,20.438
66,14,18.625,17.568,20.224
67,14,18.275,17.311,20.01
68,14,18.175,17.083,20.079
69,14,16.725,15.758,18.313
70,14,10.225,8.6801,11.084
71,15,15.7,13.8,16.7
