%slip deficit rates, uniform stddev and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId,parentSectionId,slip deficit rate (most probable rate),uniform stddev,lower 95 confidence level,upper 95 confidence level
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
0,0,1.775,1.058315,0.94897,3.0656
1,0,1.775,1.058315,0.94897,3.0656
2,0,1.775,1.058315,0.94897,3.0656
3,1,0.625,0.84246,0.21848,1.9034
4,1,0.875,0.95569,0.36602,2.2774
5,1,0.975,0.957625,0.41895,2.3342
6,1,1.075,0.95956,0.47188,2.391
7,1,1.225,1.0103650000000002,0.50227,2.523
8,2,0.295,0.127803,0.044394,0.3
9,2,0.295,0.127803,0.044394,0.3
10,3,1.525,1.1591500000000001,1.0351,3.3534
11,3,1.525,1.1591500000000001,1.0351,3.3534
12,4,0.7,2.59746,0.21718,5.4121
13,4,0.76667,2.7074849999999997,0.24843,5.6634
14,4,0.9,2.9276449999999996,0.31091,6.1662
15,4,0.9,3.2593349999999996,0.29583,6.8145
16,4,0.9,3.3698999999999995,0.2908,7.0306
17,5,0.05,2.0237999658925,6.8215e-08,4.0476
18,5,1.45,1.58606,0.11098,3.2831
19,5,1.15,1.7282055,0.055489,3.5119
20,5,0.85,1.8702999742170001,5.1566e-08,3.7406
21,5,0.25,1.7751499788215,4.2357e-08,3.5503
22,5,0.6,1.6385,0.0709,3.3479
23,5,0.75,1.5514249999999998,0.19335,3.2962
24,5,0.55,1.6009499999999999,0.2449,3.4468
25,5,0.7,1.5287600000000001,0.20078,3.2583
26,5,0.45,1.6888865,0.078327,3.4561
27,5,1.3833,1.63699994731,1.0538e-07,3.274
28,5,1.25,1.823399973546,5.2908e-08,3.6468
29,5,2.25,1.9903351,0.0060298,3.9867
30,5,1.3,1.80529255,0.0030149,3.6136
31,5,0.45,1.68215,0.1294,3.4937
32,5,1.25,2.0214179999999997,0.073064,4.1159
33,5,2.05,2.3606854999999998,0.016729,4.7381
34,6,2.15,2.255505,0.40529,4.9163
35,6,1.55,2.1902600000000003,0.27518,4.6557
36,6,0.95,2.12497,0.14506,4.395
37,6,1.15,2.110164,0.085572,4.3059
38,6,0.7,2.2675164999999997,0.020367,4.5554
39,6,0.8,2.1852877000000004,0.0073246,4.3779
40,6,1.4,1.9059270000000001,0.089446,3.9013
41,6,0.95,2.075675,0.27535,4.4267
42,6,0.65,2.270345,0.37181,4.9125
43,6,0.95,1.973299983535,3.293e-08,3.9466
44,6,1.3,2.044426,0.075948,4.1648
45,6,1.65,2.11555,0.1519,4.383
46,6,1.65,2.1293520000000004,0.062396,4.3211
47,6,1.65,2.1293520000000004,0.062396,4.3211
48,6,1.45,2.462989,0.057522,4.9835
49,6,1.2,2.322391,0.078818,4.7236
50,6,0.95,2.181845,0.10011,4.4638
51,6,0.95,2.181845,0.10011,4.4638
52,7,0.195,0.5629190000000001,0.060662,1.1865
53,7,0.255,0.686503,0.095594,1.4686
54,7,0.36,0.664335,0.12393,1.4526
55,8,8.1,3.20875,2.5033,8.9208
56,8,7.9,2.8212,3.081,8.7234
57,8,7.8,2.88335,2.8887,8.6554
58,8,6.275,2.7801500000000003,2.8723,8.4326
59,8,4.85,2.61475,3.0483,8.2778
60,8,6.05,2.04955,3.3602,7.4593
61,8,4.85,1.7809000000000001,2.8668,6.4286
62,8,1.9833,1.809485,0.96723,4.5862
63,8,1.1167,2.16169,0.48502,4.8084
64,8,3.45,2.3232999999999997,2.5901,7.2367
65,8,2.05,2.3058,1.335,5.9466
66,8,0.85,2.36016,0.46598,5.1863
67,8,0.85,2.36016,0.46598,5.1863
68,9,1.125,1.434005,0.43209,3.3001
69,9,1.125,1.434005,0.43209,3.3001
70,9,1.05,1.60356,0.47168,3.6788
71,9,1.05,1.60356,0.47168,3.6788
72,9,1.05,1.60356,0.47168,3.6788
73,9,0.65,1.8496350000000001,0.20903,3.9083
74,9,0.65,1.8496350000000001,0.20903,3.9083
75,9,0.65,1.8496350000000001,0.20903,3.9083
76,10,0.425,0.9175199999999999,0.17396,2.009
77,10,0.575,0.9084899999999999,0.21302,2.03
78,10,0.9,0.9556450000000001,0.37181,2.2831
79,10,1.625,1.0300500000000001,0.8179,2.878
80,10,2.175,1.04825,1.1443,3.2408
81,11,1.05,1.53848,0.45204,3.529
82,11,0.85,1.552185,0.42083,3.5252
83,12,0.475,1.07754,0.20912,2.3642
84,12,0.475,1.07754,0.20912,2.3642
85,13,19.05,2.6720000000000006,15.796,21.14
86,13,19.05,2.6720000000000006,15.796,21.14
87,13,18.75,2.5349999999999993,15.147,20.217
88,13,18.75,2.5349999999999993,15.147,20.217
89,14,20.35,2.9209999999999994,16.745,22.587
90,14,20.35,2.9209999999999994,16.745,22.587
91,14,20.05,2.4535,17.07,21.977
92,14,20.05,2.4535,17.07,21.977
93,15,19.3,4.021999999999999,14.287,22.331
94,15,18.5,3.876500000000001,14.853,22.606
95,15,18.1,3.8039999999999994,15.135,22.743
96,16,3.1,2.66505,1.4457,6.7758
97,16,3.1,2.66505,1.4457,6.7758
98,16,5.3,2.73705,1.1778,6.6519
99,17,24.95,2.5824999999999996,21.481,26.646
100,17,24.883,2.5024999999999995,21.513,26.518
101,17,24.75,2.3424999999999994,21.577,26.262
102,17,24.65,1.8399999999999999,22.573,26.253
103,17,25.15,1.6304999999999996,23.407,26.668
104,17,25.25,1.846,22.964,26.656
105,17,25.45,2.276,22.079,26.631
106,17,25.717,2.3100000000000005,22.259,26.879
107,17,26.25,2.3774999999999995,22.62,27.375
108,17,28.65,2.1149999999999984,25.536,29.766
109,17,28.583,2.389000000000001,24.886,29.664
110,17,28.45,2.9369999999999994,23.587,29.461
111,17,28.65,2.634499999999999,24.425,29.694
112,17,29.05,2.0294999999999987,26.1,30.159
113,17,28.983,2.112,26.006,30.23
114,17,28.95,2.153500000000001,25.958,30.265
115,17,29.15,2.2390000000000008,25.897,30.375
116,17,29.35,2.323500000000001,25.837,30.484
117,17,28.85,2.2135,25.962,30.389
118,17,28.85,2.2135,25.962,30.389
119,18,24.925,1.3529999999999998,23.491,26.197
120,18,24.925,1.3529999999999998,23.491,26.197
121,18,24.275,1.134500000000001,23.29,25.559
122,18,24.925,1.1395,24.064,26.343
123,18,24.925,1.1395,24.064,26.343
124,18,24.375,1.0265000000000004,23.386,25.439
125,18,24.775,1.0755,23.918,26.069
126,18,24.775,1.0755,23.918,26.069
127,18,25.025,1.0455000000000005,24.119,26.21
128,18,25.275,1.0165000000000006,24.319,26.352
129,18,28.325,1.0525000000000002,27.393,29.498
130,18,29.025,1.0459999999999994,28.084,30.176
131,18,29.725,1.0395000000000003,28.775,30.854
132,18,30.525,1.0645000000000007,29.514,31.643
133,18,30.525,1.0645000000000007,29.514,31.643
134,18,30.475,1.0375000000000014,29.516,31.591
135,18,30.3,1.075000000000001,29.287,31.437
136,18,30.125,1.1130000000000013,29.057,31.283
137,18,30.125,1.1130000000000013,29.057,31.283
138,18,29.975,1.027000000000001,28.784,30.838
139,18,29.725,1.0534999999999997,28.69,30.797
140,18,29.725,1.0534999999999997,28.69,30.797
141,18,28.925,1.0145,27.892,29.921
142,18,28.925,1.0145,27.892,29.921
143,18,24.925,1.0739999999999998,23.743,25.891
144,18,23.85,1.0954999999999995,22.68,24.871
145,18,22.775,1.116999999999999,21.617,23.851
146,18,22.275,1.0709999999999997,21.236,23.378
147,18,22.275,1.0709999999999997,21.236,23.378
148,18,21.375,1.0875000000000004,20.247,22.422
149,18,21.375,1.0875000000000004,20.247,22.422
150,19,11.85,1.5755,9.88,13.031
151,19,11.85,1.5755,9.88,13.031
152,19,15.425,1.3839999999999995,13.798,16.566
153,19,15.425,1.3839999999999995,13.798,16.566
154,19,15.425,1.3839999999999995,13.798,16.566
155,19,16.525,1.423000000000001,14.719,17.565
156,19,16.525,1.423000000000001,14.719,17.565
157,19,18.975,1.3064999999999998,17.825,20.438
158,19,18.975,1.3064999999999998,17.825,20.438
159,19,18.275,1.3495000000000008,17.311,20.01
