%slip deficit rates, uniform stddev and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ D90 depths
%columns indicate:  sectionId,parentSectionId,slip deficit rate (most probable rate),uniform stddev,lower 95 confidence level,upper 95 confidence level
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
0,0,1.775,1.058315,0.94897,3.0656
1,0,1.775,1.058315,0.94897,3.0656
2,1,0.625,0.84246,0.21848,1.9034
3,1,0.955,0.95722,0.40836,2.3228
4,1,1.1875,0.9976650000000001,0.49467,2.49
5,2,0.295,0.127803,0.044394,0.3
6,2,0.295,0.127803,0.044394,0.3
7,3,1.525,1.1591500000000001,1.0351,3.3534
8,3,1.525,1.1591500000000001,1.0351,3.3534
9,4,0.7,2.59746,0.21718,5.4121
10,4,0.9,2.9276449999999996,0.31091,6.1662
11,4,0.9,3.3698999999999995,0.2908,7.0306
12,5,0.05,2.0237999658925,6.8215e-08,4.0476
13,5,1.15,1.7282055,0.055489,3.5119
14,5,0.6,1.6385,0.0709,3.3479
15,5,0.75,1.5514249999999998,0.19335,3.2962
16,5,0.7,1.5287600000000001,0.20078,3.2583
17,5,1.05,1.6740180000000002,0.039164,3.3872
18,5,2.25,1.9903351,0.0060298,3.9867
19,5,1.3,1.80529255,0.0030149,3.6136
20,5,1.25,2.0214179999999997,0.073064,4.1159
21,6,1.55,2.1902600000000003,0.27518,4.6557
22,6,1.15,2.110164,0.085572,4.3059
23,6,0.98333,2.155311,0.013578,4.3242
24,6,1.15,2.0274150000000004,0.18357,4.2384
25,6,0.65,2.270345,0.37181,4.9125
26,6,1.3,2.044426,0.075948,4.1648
27,6,1.65,2.1293520000000004,0.062396,4.3211
28,6,1.2,2.322391,0.078818,4.7236
29,6,0.95,2.181845,0.10011,4.4638
30,7,0.195,0.5629190000000001,0.060662,1.1865
31,7,0.36,0.664335,0.12393,1.4526
32,8,8.1,3.20875,2.5033,8.9208
33,8,7.8,2.88335,2.8887,8.6554
34,8,6.275,2.7801500000000003,2.8723,8.4326
35,8,4.85,2.61475,3.0483,8.2778
36,8,5.5,1.8973,3.2424,7.037
37,8,3,1.8092,1.6061,5.2245
38,8,1.1167,2.16169,0.48502,4.8084
39,8,3.45,2.3232999999999997,2.5901,7.2367
40,8,1.45,2.33296,0.90048,5.5664
41,8,0.85,2.36016,0.46598,5.1863
42,9,1.125,1.434005,0.43209,3.3001
43,9,1.0875,1.5187599999999999,0.45188,3.4894
44,9,1.05,1.60356,0.47168,3.6788
45,9,0.85,1.72662,0.34036,3.7936
46,9,0.65,1.8496350000000001,0.20903,3.9083
47,10,0.575,0.9084899999999999,0.21302,2.03
48,10,0.9,0.9556450000000001,0.37181,2.2831
49,10,1.625,1.0300500000000001,0.8179,2.878
50,10,2.175,1.04825,1.1443,3.2408
51,11,1.05,1.53848,0.45204,3.529
52,11,0.85,1.552185,0.42083,3.5252
53,12,0.475,1.07754,0.20912,2.3642
54,12,0.475,1.07754,0.20912,2.3642
55,13,19.05,2.6720000000000006,15.796,21.14
56,13,18.75,2.5349999999999993,15.147,20.217
57,14,20.35,2.9209999999999994,16.745,22.587
58,14,20.25,2.7650000000000006,16.854,22.384
59,14,20.05,2.4535,17.07,21.977
60,15,19.3,4.021999999999999,14.287,22.331
61,15,18.1,3.8039999999999994,15.135,22.743
62,16,3.1,2.66505,1.4457,6.7758
63,16,5.3,2.73705,1.1778,6.6519
64,17,24.883,2.5024999999999995,21.513,26.518
65,17,24.675,1.9654999999999987,22.324,26.255
66,17,24.9,1.7355,22.99,26.461
67,17,25.375,2.1149999999999984,22.411,26.641
68,17,25.983,2.343499999999999,22.44,27.127
69,17,28.65,2.1149999999999984,25.536,29.766
70,17,28.6,2.7104999999999997,24.215,29.636
71,17,29.025,2.0604999999999993,26.065,30.186
72,17,28.95,2.153500000000001,25.958,30.265
73,17,29.35,2.323500000000001,25.837,30.484
74,17,28.85,2.2135,25.962,30.389
75,18,24.925,1.3529999999999998,23.491,26.197
76,18,24.275,1.134500000000001,23.29,25.559
77,18,24.925,1.1395,24.064,26.343
78,18,24.65,1.0829999999999984,23.725,25.891
79,18,24.775,1.0755,23.918,26.069
80,18,25.025,1.0455000000000005,24.119,26.21
81,18,25.275,1.0165000000000006,24.319,26.352
82,18,28.325,1.0525000000000002,27.393,29.498
83,18,29.725,1.0395000000000003,28.775,30.854
84,18,30.525,1.0645000000000007,29.514,31.643
85,18,30.475,1.0375000000000014,29.516,31.591
86,18,30.3,1.075000000000001,29.287,31.437
87,18,30.125,1.1130000000000013,29.057,31.283
88,18,29.975,1.027000000000001,28.784,30.838
89,18,29.725,1.0534999999999997,28.69,30.797
90,18,28.925,1.0145,27.892,29.921
91,18,24.925,1.0739999999999998,23.743,25.891
92,18,23.85,1.0954999999999995,22.68,24.871
93,18,22.775,1.116999999999999,21.617,23.851
94,18,22.275,1.0709999999999997,21.236,23.378
95,18,21.375,1.0875000000000004,20.247,22.422
96,19,11.85,1.5755,9.88,13.031
97,19,15.425,1.3839999999999995,13.798,16.566
98,19,15.425,1.3839999999999995,13.798,16.566
99,19,16.525,1.423000000000001,14.719,17.565
100,19,18.975,1.3064999999999998,17.825,20.438
101,19,18.625,1.3279999999999994,17.568,20.224
102,19,18.275,1.3495000000000008,17.311,20.01
103,19,18.175,1.498000000000001,17.083,20.079
104,19,16.725,1.2774999999999999,15.758,18.313
105,19,10.225,1.20195,8.6801,11.084
106,20,19.7,3.9335000000000004,15.486,23.353
107,20,19.7,3.9335000000000004,15.486,23.353
108,21,1.75,1.8715,0.8497,4.5927
109,21,1.75,1.8715,0.8497,4.5927
110,22,17.9,2.992,13.231,19.215
111,22,16.95,2.7784999999999993,13.05,18.607
112,22,16.55,2.461499999999999,13.646,18.569
113,22,16.25,2.5570000000000004,13.241,18.355
114,22,16.4,2.8104999999999993,12.555,18.176
115,22,16.417,2.6465000000000005,12.562,17.855
116,23,16.25,2.6740000000000004,12.376,17.724
117,23,13.5,2.423,12.247,17.093
118,23,14.05,2.304999999999999,12.848,17.458
119,23,11.65,2.53055,9.1789,14.24
120,23,13.05,2.4819999999999993,11.465,16.429
121,23,12.95,1.827,11.501,15.155
122,23,13.4,2.394,10.625,15.413
123,23,13.25,3.157000000000001,10.199,16.513
124,24,7.125,1.3729000000000005,5.8385,8.5843
125,24,5.875,1.3010000000000002,4.7085,7.3105
126,24,3.2,1.3480500000000002,2.1307,4.8268
127,24,3.85,1.25735,2.6401,5.1548
128,24,5.275,1.35215,4.1303,6.8346
129,24,5.075,1.21295,3.8702,6.2961
130,24,4.4,1.25385,3.1018,5.6095
131,25,0.25,1.5372649999999999,0.10807,3.1826
132,25,0.35,1.692115,0.14187,3.5261
133,25,0.8,2.092205,0.43529,4.6197
134,25,1.15,2.3374950000000005,0.69491,5.3699
135,25,0.75,2.3930000000000002,0.3096,5.0956
136,25,1.5,2.90275,0.7976,6.6031
137,26,2.7,2.50313,0.51584,5.5221
138,26,3.15,2.30952,0.49106,5.1101
139,26,2.125,2.519335,0.61733,5.656
140,26,2.2333,2.2514000000000003,0.6343,5.1371
141,26,2.05,2.4934849999999997,0.52563,5.5126
142,26,1.9833,2.2541550000000004,0.54569,5.054
143,26,2.1833,2.0592750000000004,0.60235,4.7209
144,26,2.35,2.3588050000000003,0.44779,5.1654
145,26,2.95,2.225085,0.45933,4.9095
146,26,3.15,2.04767,0.53216,4.6275
147,27,2.15,2.623625,0.89935,6.1466
148,27,3.1,2.196955,0.84159,5.2355
149,27,3.35,2.17932,0.79066,5.1493
150,27,4.2833,2.4873950000000002,0.86121,5.836
151,27,4.3,2.550815,0.72817,5.8298
152,27,3.825,2.485425,0.80755,5.7784
153,27,3.55,2.5541650000000002,0.72997,5.8383
154,27,2.9,2.28658,0.87244,5.4456
155,27,2.95,2.367355,0.99879,5.7335
156,27,2.75,2.74315,1.0191,6.5054
157,28,0.225,0.7689345,0.079531,1.6174
158,28,0.225,0.7689345,0.079531,1.6174
159,29,0.0915,0.06406099999999999,0.032148,0.16027
