%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
0,0,0.705,0.28613,1.3061
1,0,0.705,0.28613,1.3061
2,0,0.705,0.28613,1.3061
3,1,0.45,0.16225,1.0546
4,1,0.45,0.19546,1.1152
5,1,0.5475,0.21697,1.2211
6,1,0.645,0.23849,1.327
7,1,0.765,0.25848,1.3913
8,2,0.1275,0.039604,0.23118
9,2,0.1275,0.039604,0.23118
10,3,1.065,0.55155,1.8216
11,3,1.065,0.55155,1.8216
12,4,0.55,0.2253,3.5672
13,4,0.55,0.20689,3.4869
14,4,0.55,0.17006,3.3265
15,4,0.1525,0.050014,0.85413
16,4,0.02,0.01,0.03
17,5,0.14,0.1,0.24
18,5,0.4,0.1,0.4
19,5,0.4,0.1,0.4
20,5,0.4,0.1,0.4
21,5,0.17,0.12,0.23
22,5,0.35,0.21,0.49
23,5,0.43,0.39,0.72
24,5,0.4,0.1,0.4
25,5,0,0,0
26,5,0,0,0
27,5,0.3,0.2,0.4
28,5,0.1,0.05,0.14
29,5,0.1,0.005,0.2
30,5,0.13,0.07,0.8
31,5,0.09,0.07,0.13
32,5,0.13,0.1,0.16
33,5,0.34,0.2,0.49
34,6,0.8,0.6,1
35,6,0.03,0.02,0.04
36,6,0.65,0.43,0.87
37,6,0.25,0.12202,0.54656
38,6,0.37,0.11621,0.88952
39,6,0.04,0.02,0.1
40,6,0.19,0.05,0.19
41,6,0.2,0.1,0.3
42,6,0.16,0.1,0.3
43,6,0.07,0.01,0.13
44,6,0.5,0.2,0.8
45,6,0.03,0.01,0.05
46,6,0.05,0.04,0.07
47,6,0,0,0
48,6,0,0,0
49,6,0,0,0
50,6,0,0,0
51,6,2,1.55,2.55
52,7,0,0,0
53,7,2.7,2.05,3.4
54,7,2.1,1.55,2.6
55,8,2.25,1.7,2.8
56,8,1.95,1.45,2.45
57,8,0.6125,0.37509,1.3338
58,8,0.425,0.15789,1.8527
59,8,0.425,0.16559,2.0378
60,8,0.475,0.16901,1.9959
61,8,0.44833,0.16633,1.6913
62,8,0.46333,0.14352,1.1769
63,8,0.47333,0.15633,1.1774
64,8,0.55,0.21893,2.9977
65,8,0.725,0.22727,2.0106
66,8,0.825,0.25024,1.7179
67,8,0.825,0.25024,1.7179
68,9,0.465,0.15889,1.37
69,9,0.465,0.15889,1.37
70,9,0.465,0.1617,1.5487
71,9,0.465,0.1617,1.5487
72,9,0.465,0.1617,1.5487
73,9,0.405,0.12844,1.112
74,9,0.405,0.12844,1.112
75,9,0.405,0.12844,1.112
76,10,0.47,0.13757,1.0239
77,10,0.43,0.12864,0.98752
78,10,0.45,0.14682,0.98333
79,10,0.6525,0.21199,1.2449
80,10,0.795,0.25004,1.4742
81,11,1.225,0.74222,3.0929
82,11,1.525,0.5985,3.0689
83,12,0.85,0.42086,3.5185
84,12,0.85,0.42086,3.5185
85,13,21.25,12.44,28.919
86,13,21.25,12.44,28.919
87,13,20.75,12.098,28.83
88,13,20.75,12.098,28.83
89,14,24.75,13.319,27.343
90,14,24.75,13.319,27.343
91,14,24.25,13.684,27.122
92,14,24.25,13.684,27.122
93,15,8.3,3.9296,10.605
94,15,8.5667,4.0441,10.599
95,15,8.7,4.1013,10.596
96,16,17.55,11.843,20.264
97,16,17.55,11.843,20.264
98,16,16.95,11.661,20.381
99,17,25.75,17.093,31.301
100,17,25.917,17.255,31.209
101,17,26.25,17.58,31.027
102,17,26.25,17.778,29.828
103,17,26.55,18.581,29.245
104,17,26.65,18.505,28.802
105,17,26.85,18.353,27.917
106,17,26.85,18.452,27.937
107,17,26.85,18.65,27.978
108,17,28.35,20.597,30.179
109,17,27.85,20.457,29.989
110,17,26.85,20.176,29.61
111,17,26.45,20.556,29.635
112,17,25.65,21.318,29.683
113,17,27.95,22.159,29.634
114,17,29.1,22.58,29.609
115,17,26.9,23.176,29.87
116,17,24.7,23.772,30.131
117,17,25.1,23.75,30.394
118,17,25.1,23.75,30.394
119,18,24.9,22.26,28.697
120,18,1.25,0.95,1.55
121,18,23.5,22.849,28.713
122,18,0.25,0.2,0.35
123,18,2.75,2.05,3.4
124,18,0.1,0.05,0.2
125,18,0.15,0.1,0.2
126,18,1.4,1.05,1.7
127,18,0.1,0.05,0.2
128,18,2.7,2.05,3.4
129,18,2.3,1.75,2.9
130,18,1.1,0.8,1.4
131,18,1.5,1.15,1.95
132,18,2.7,2.05,3.4
133,18,1.2,0.9,1.5
134,18,29.35,28.271,32.425
135,18,14.875,14.285,16.463
136,18,1.2,0.9,1.5
137,18,2.7,2.05,3.4
138,18,2.6,1.95,3.25
139,18,0.1,0.05,0.3
140,18,1.5,0.5,1.9
141,18,0.25,0.2,0.3
142,18,1.1,0.95,1.4
143,18,1.2,0.93,1.56
144,18,1.7,1.3,2.2
145,18,2.3,1.7,2.9
146,18,0.1,0.05,0.35
147,18,0.7,0.4,0.85
148,18,22.1,20.668,27.584
149,18,22.1,20.668,27.584
150,19,12.45,11.727,15.161
151,19,12.45,11.727,15.161
152,19,14.95,13.571,17.881
153,19,14.95,13.571,17.881
154,19,14.95,13.571,17.881
155,19,15.55,13.847,18.374
156,19,15.55,13.847,18.374
157,19,18.7,14.232,19.249
158,19,18.7,14.232,19.249
159,19,17.85,14.219,18.511
160,19,17.85,14.219,18.511
161,19,16.55,14.197,18.631
162,19,16.55,14.197,18.631
163,19,15.475,13.996,16.753
164,19,12.7,9.7129,14.962
165,19,12.7,9.7129,14.962
166,20,20.55,12.508,22.139
167,20,20.55,12.508,22.139
168,21,3.45,2.0706,10.008
169,21,1.8,1,2.5
170,22,0.75,0.65,0.9
171,22,0.45,0.3,0.6
172,22,0.81,0.7,0.92
173,22,0.65,0.5,0.85
174,22,2.2,1.5,2.8
175,22,0.7,0.6,0.85
176,22,0,0,0
177,22,0.2,0.05,0.3
178,22,0.35,0.3,0.4
179,23,1.8,1.6,2
180,23,1.5,1.1,1.8
181,23,1,0.5,2.5
182,23,3.2,2.5,4
183,23,2,1,3
184,23,1.8,0.9,2.7
185,23,0.5,0.4,1
186,23,1.3,0.7,2.7
187,23,2.6,1.2,4
188,23,1.26,1.06,1.38
189,23,17.25,12.811,31.986
190,24,8.9,4.4914,9.8394
191,24,7.275,4.4227,9.1135
192,24,5.5875,4.2181,7.5016
193,24,5.525,4.0822,6.6155
194,24,3.65,2.8436,5.7531
195,24,3.975,3.0218,5.7478
196,24,5.125,4.1259,6.1189
197,24,6.025,4.3288,6.8961
198,24,6.025,4.3288,6.8961
199,24,6.075,4.1887,7.0096
200,24,6.075,4.1887,7.0096
201,24,5.275,4.2036,6.3111
202,24,5.125,3.9679,6.2903
203,25,0.425,0.15991,2.3739
204,25,0.44167,0.16966,2.3966
205,25,0.475,0.18915,2.4421
206,25,0.825,0.34687,2.488
