%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
0,0,0.705,0.28613,1.3061
1,0,0.705,0.28613,1.3061
2,1,0.45,0.16225,1.0546
3,1,0.528,0.21267,1.1999
4,1,0.735,0.25348,1.3753
5,2,0.1275,0.039604,0.23118
6,2,0.1275,0.039604,0.23118
7,3,1.065,0.55155,1.8216
8,3,1.065,0.55155,1.8216
9,4,0.55,0.2253,3.5672
10,4,0.55,0.17006,3.3265
11,4,0.55,0.18046,3.4017
12,5,0.23,0.21,0.32
13,5,0.35,0.26,0.57
14,5,0.4,0.31,0.65
15,5,0.02,0.01,0.03
16,5,0.02,0.01,0.03
17,5,0.14,0.1,0.24
18,5,0.4,0.1,0.4
19,5,0.4,0.1,0.4
20,5,0.4,0.1,0.4
21,6,0.17,0.12,0.23
22,6,0.35,0.21,0.49
23,6,0.43,0.39,0.72
24,6,0.4,0.1,0.4
25,6,0,0,0
26,6,0,0,0
27,6,0.3,0.2,0.4
28,6,0.1,0.05,0.14
29,6,0.1,0.005,0.2
30,7,0.15,0.054455,0.84233
31,7,0.34,0.12098,0.94383
32,8,0.13,0.1,0.16
33,8,0.34,0.2,0.49
34,8,0.8,0.6,1
35,8,0.03,0.02,0.04
36,8,0.65,0.43,0.87
37,8,0.17,0.13,0.21
38,8,0.02,0.02,0.02
39,8,0.04,0.02,0.1
40,8,0.19,0.05,0.19
41,8,0.2,0.1,0.3
42,9,0.16,0.1,0.3
43,9,0.07,0.01,0.13
44,9,0.5,0.2,0.8
45,9,0.03,0.01,0.05
46,9,0.05,0.04,0.07
47,10,0.43,0.12864,0.98752
48,10,0.45,0.14682,0.98333
49,10,0.6525,0.21199,1.2449
50,10,0.795,0.25004,1.4742
51,11,1.225,0.74222,3.0929
52,11,1.525,0.5985,3.0689
53,12,0.85,0.42086,3.5185
54,12,0.85,0.42086,3.5185
55,13,21.25,12.44,28.919
56,13,20.75,12.098,28.83
57,14,24.75,13.319,27.343
58,14,24.583,13.441,27.269
59,14,24.25,13.684,27.122
60,15,8.3,3.9296,10.605
61,15,8.7,4.1013,10.596
62,16,17.55,11.843,20.264
63,16,16.95,11.661,20.381
64,17,25.917,17.255,31.209
65,17,26.25,17.728,30.128
66,17,26.4,18.18,29.537
67,17,26.775,18.41,28.249
68,17,26.85,18.551,27.958
69,17,28.35,20.597,30.179
70,17,26.55,20.461,29.629
71,17,26.513,21.633,29.664
72,17,29.1,22.58,29.609
73,17,24.7,23.772,30.131
74,17,25.1,23.75,30.394
75,18,24.9,22.26,28.697
76,18,23.5,22.849,28.713
77,18,25.3,23.844,29.059
78,18,24.9,23.745,29.146
79,18,24.5,23.561,29.415
80,18,24.7,23.666,29.499
81,18,24.9,23.771,29.584
82,18,27.55,26.634,29.816
83,18,29.25,27.678,30.694
84,18,29.55,27.896,31.941
85,18,29.35,28.271,32.425
86,18,29.225,28.29,32.823
87,18,29.1,28.31,33.22
88,18,28.7,27.725,33.134
89,18,28.65,26.88,30.785
90,18,27.95,25.639,29.098
91,18,25.15,24.154,28.562
92,18,24.425,23.537,28.248
93,18,23.7,22.921,27.934
94,18,23.7,22.099,27.79
95,18,22.1,20.668,27.584
96,19,12.45,11.727,15.161
97,19,14.95,13.571,17.881
98,19,14.95,13.571,17.881
99,19,15.55,13.847,18.374
100,19,18.7,14.232,19.249
101,19,18.275,14.226,18.88
102,19,17.85,14.219,18.511
103,19,16.55,14.197,18.631
104,19,15.475,13.996,16.753
105,19,12.7,9.7129,14.962
106,20,20.55,12.508,22.139
107,20,20.55,12.508,22.139
108,21,0.75,0.55,0.95
109,21,3.45,2.0706,10.008
110,22,0.45,0.35,0.55
111,22,0.7,0.55,0.9
112,22,0.75,0.55,0.95
113,22,1.1,0.85,1.4
114,22,1.4,1.1,1.85
115,22,8.5,7.8003,21.199
116,23,1.1,0.85,1.4
117,23,4.1,3.1,5.15
118,23,1.1,0.8,1.4
119,23,2,1.5,2.5
120,23,1.25,0.95,1.55
121,23,0.6,0.45,0.75
122,23,0.25,0.2,0.35
123,23,2.75,2.05,3.4
124,24,7.275,4.4227,9.1135
125,24,5.5875,4.2181,7.5016
126,24,3.8125,2.9327,5.7504
127,24,4.55,3.5738,5.9333
128,24,6.05,4.2588,6.9528
129,24,5.675,4.1962,6.6603
130,24,5.125,3.9679,6.2903
131,25,0.425,0.15991,2.3739
132,25,0.45,0.17453,2.408
133,25,0.825,0.34687,2.488
134,25,1.175,0.50459,2.5338
135,25,0.975,0.4539,2.6964
136,25,1.325,0.77613,3.1005
137,26,2.7,2.05,3.4
138,26,2.6,1.95,3.25
139,26,0.1,0.05,0.3
140,26,1.5,0.5,1.9
141,26,0.25,0.2,0.3
142,26,1.1,0.95,1.4
143,26,1.2,0.93,1.56
144,26,1.7,1.3,2.2
145,26,2.3,1.7,2.9
146,26,0.1,0.05,0.35
147,27,0.7,0.4,0.85
148,27,0.3,0.1,0.5
149,27,0.2,0.1,0.4
150,27,0.6,0.3,0.8
151,27,1.1,0.81,1.35
152,27,0.05,0.04,0.07
153,27,0.42,0.32,0.53
154,27,1,0.75,1.25
155,27,0.8,0.4,1.4
156,27,0.9,0.8,1.05
157,28,0.125,0.048985,1.6782
158,28,0.125,0.048985,1.6782
159,29,0.0975,0.032383,0.16082
160,29,0.0975,0.032383,0.16082
161,30,0.3,0.088522,5.1379
162,30,0.3,0.084759,5.3838
163,30,0.3,0.080995,5.6297
164,31,0.15,0.054655,4.5138
165,31,0.25,0.081546,4.7289
166,31,0.1,0.050245,4.5883
167,32,0.425,0.11788,2.5333
168,32,0.425,0.13052,2.5605
169,32,0.425,0.14317,2.5877
170,33,0.405,0.13268,1.1989
171,33,0.285,0.09851,1.2232
172,34,0.47,0.15658,0.85069
173,34,0.47,0.17576,0.8798
174,35,0.405,0.13754,1.4134
175,35,0.39,0.13069,1.4139
176,35,0.63,0.20513,1.4725
177,35,0.42,0.14185,1.3958
178,35,0.465,0.16042,1.3816
179,36,1.8,1.6,2
180,36,1.5,1.1,1.8
181,36,1,0.5,2.5
182,36,3.2,2.5,4
183,36,2,1,3
184,36,1.8,0.9,2.7
185,37,0.5,0.4,1
186,37,1.3,0.7,2.7
187,37,2.6,1.2,4
188,37,1.26,1.06,1.38
189,37,1.7,1.48,1.92
190,37,0.51,0.44,0.58
191,37,0.25,0.21,0.28
192,37,0.3,0.2,0.7
193,37,2.2,2,2.5
194,38,0.09,0.08,0.1
195,38,0.09,0.08,0.11
196,38,0.23,0.2,0.26
197,38,0.68,0.28,1.09
198,38,0.4,0.35,0.46
199,38,0.6,0.5,0.8
200,38,0.2,0.15,0.27
201,38,0.43,0.37,0.48
202,38,0.7,0.5,0.9
203,38,0.5,0.4,0.6
204,38,1.7,1.4,2
205,38,0.55,0.4,0.7
