%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model: NZSHM22_RuptureSet-UnVwdHVyZUdlbmVyYXRpb25UYXNrOjc5OTBvWWZMVw
%json files for subsection definitions were obtained form this link, provided by Chris Chamberlain in am email to Kaj Johnson on Feb 4, 2022: http://simple-toshi-ui.s3-website-ap-southeast-2.amazonaws.com/FileDetail/RmlsZToyMjE4My4wUGVpWGE=
%columns indicate:  FaultId, ParentId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
0,0,0.735,0.25348,1.3753
1,0,0.528,0.21267,1.1999
2,0,0.45,0.16225,1.0546
3,1,0.1275,0.039604,0.23118
4,1,0.1275,0.039604,0.23118
5,2,1.065,0.55155,1.8216
6,2,1.065,0.55155,1.8216
7,3,0.55,0.2253,3.5672
8,3,0.55,0.17006,3.3265
9,3,0.55,0.18046,3.4017
10,4,0.15,0.054455,0.84233
11,4,0.34,0.12098,0.94383
12,5,0.43,0.12864,0.98752
13,5,0.45,0.14682,0.98333
14,5,0.6525,0.21199,1.2449
15,5,0.795,0.25004,1.4742
16,6,1.225,0.74222,3.0929
17,6,1.525,0.5985,3.0689
18,7,0.85,0.42086,3.5185
19,7,0.85,0.42086,3.5185
20,8,21.25,12.44,28.919
21,8,20.75,12.098,28.83
22,9,24.75,13.319,27.343
23,9,24.583,13.441,27.269
24,9,24.25,13.684,27.122
25,10,8.3,3.9296,10.605
26,10,8.7,4.1013,10.596
27,11,17.55,11.843,20.264
28,11,16.95,11.661,20.381
29,12,25.917,17.255,31.209
30,12,26.25,17.728,30.128
31,12,26.4,18.18,29.537
32,12,26.775,18.41,28.249
33,12,26.85,18.551,27.958
34,12,28.35,20.597,30.179
35,12,26.55,20.461,29.629
36,12,26.513,21.633,29.664
37,12,29.1,22.58,29.609
38,12,24.7,23.772,30.131
39,12,25.1,23.75,30.394
40,13,24.9,22.26,28.697
41,13,23.5,22.849,28.713
42,13,25.3,23.844,29.059
43,13,24.9,23.745,29.146
44,13,24.5,23.561,29.415
45,13,24.7,23.666,29.499
46,13,24.9,23.771,29.584
47,13,27.55,26.634,29.816
48,13,29.25,27.678,30.694
49,13,29.55,27.896,31.941
50,13,29.35,28.271,32.425
51,13,29.225,28.29,32.823
52,13,29.1,28.31,33.22
53,13,28.7,27.725,33.134
54,13,28.65,26.88,30.785
55,13,27.95,25.639,29.098
56,13,25.15,24.154,28.562
57,13,24.425,23.537,28.248
58,13,23.7,22.921,27.934
59,13,23.7,22.099,27.79
60,13,22.1,20.668,27.584
61,14,12.45,11.727,15.161
62,14,14.95,13.571,17.881
63,14,14.95,13.571,17.881
64,14,15.55,13.847,18.374
65,14,18.7,14.232,19.249
66,14,18.275,14.226,18.88
67,14,17.85,14.219,18.511
68,14,16.55,14.197,18.631
69,14,15.475,13.996,16.753
70,14,12.7,9.7129,14.962
71,15,15.7,13.8,16.7
72,15,15.7,13.8,16.7
73,16,15.7,13.8,16.7
74,16,15.7,13.8,16.7
75,17,31.4,27.9,33.5
76,17,31.4,27.9,33.5
77,17,31.4,27.9,33.5
78,17,31.4,27.9,33.5
79,17,31.4,27.9,33.5
