along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry,interpolation_method,centroid_longitude_deg,centroid_latitude_deg
0,0,172.42382287773432,-42.627506327950485,172.2738121737314,-42.70490430329631,43.0430547094627,49.99683047913771,0.0017494476232455,"POLYGON Z ((1532827.98564246 5282532.34002165 -49996.8304791377, 1540527.02828662 5271698.60821269 -43043.0547094627, 1552753.99308109 5280387.75845393 -43043.0547094627, 1545054.95043692 5291221.49026289 -49996.8304791377, 1532827.98564246 5282532.34002165 -49996.8304791377))",nearest_neighbor_boundary,172.30243731505496,-42.61717487555498
1,0,172.70555295457825,-42.61934492008483,172.56915734621134,-42.709425552117736,36.39768951129796,42.73351077732612,0.2538621453795794,"POLYGON Z ((1555607.58748948 5281454.95836209 -42733.5107773261, 1564717.67205127 5271362.20213983 -36397.689511298, 1575852.47815751 5281412.87838456 -36397.689511298, 1566742.39359572 5291505.63460682 -42733.5107773261, 1555607.58748948 5281454.95836209 -42733.5107773261))",2d_linear_centroids_interior,172.58212713207377,-42.61877174701013
1,1,172.57827653292523,-42.54405460144037,172.43308459673312,-42.626128220992534,42.19812499447438,48.95764132742118,0.011399441911854023,"POLYGON Z ((1545314.62770148 5291133.8858928 -48957.6413274212, 1553512.42240729 5280545.91626184 -42198.1249944744, 1565372.92180227 5289728.97425477 -42198.1249944744, 1557175.12709646 5300316.94388573 -48957.6413274212, 1545314.62770148 5291133.8858928 -48957.6413274212))",2d_linear_centroids_interior,172.45619111998923,-42.53721410339839
2,0,172.9842486848706,-42.60772219381125,172.86598718749897,-42.71081890744076,29.36833078072113,35.09286322583835,0.7996831929382401,"POLYGON Z ((1578436.25199242 5280238.18077759 -35092.8632258384, 1589025.75010214 5271288.7529708 -29368.3307807211, 1598707.99920857 5282745.36906112 -29368.3307807211, 1588118.50109885 5291694.79686791 -35092.8632258384, 1578436.25199242 5280238.18077759 -35092.8632258384))",2d_linear_centroids_interior,172.86065309706538,-42.61892802965508
2,1,172.8569026192865,-42.53005015267116,172.73190027170492,-42.62860974164651,35.002728009506455,41.499271281511746,0.24302407490702224,"POLYGON Z ((1568129.64596445 5289613.29805719 -41499.2712815117, 1578016.47575139 5280391.28513814 -35002.7280095065, 1588247.87230699 5291360.26524215 -35002.7280095065, 1578361.04252005 5300582.2781612 -41499.2712815117, 1568129.64596445 5289613.29805719 -41499.2712815117))",2d_linear_centroids_interior,172.7343875369774,-42.5376981156762
2,2,172.73403525659734,-42.456202791239434,172.60083073738824,-42.54857964728535,41.64560419889597,48.70876716200059,0.07774411164304003,"POLYGON Z ((1558140.24298534 5298855.2168138 -48708.7671620006, 1567227.18329077 5289235.48475713 -41645.604198896, 1578131.45379587 5299535.81896295 -41645.604198896, 1569044.51349044 5309155.55101962 -48708.7671620006, 1558140.24298534 5298855.2168138 -48708.7671620006))",2d_linear_centroids_interior,172.61245232053085,-42.45892092157967
3,0,173.26494452750833,-42.603730950407595,173.15519207379717,-42.71183014735521,23.396853414275917,27.97571129905942,2.310988233811581,"POLYGON Z ((1601299.09504956 5279767.77750849 -27975.7112990594, 1612708.40424554 5271173.4931205 -23396.8534142759, 1621733.45480054 5283154.66428528 -23396.8534142759, 1610324.14560456 5291748.94867327 -27975.7112990594, 1601299.09504956 5279767.77750849 -27975.7112990594))",2d_linear_centroids_interior,173.14042543852486,-42.619201872845196
3,1,173.13360559422804,-42.52235968141553,173.019699295786,-42.62800550299002,27.98699798682562,33.57242356657681,2.054379878653049,"POLYGON Z ((1590735.84264444 5289178.65836448 -33572.4235665768, 1601615.30936563 5280493.02511436 -27986.9979868256, 1610973.94362323 5292215.48069467 -27986.9979868256, 1600094.47690205 5300901.11394479 -33572.4235665768, 1590735.84264444 5289178.65836448 -33572.4235665768))",2d_linear_centroids_interior,173.0104104390928,-42.53611164720036
3,2,173.0070843159417,-42.44795610183562,172.88196642749838,-42.546323530232534,33.68329190849775,40.276184602247845,0.8017831518708936,"POLYGON Z ((1580491.77784889 5298784.66087233 -40276.1846022478, 1590308.79928953 5289556.45108046 -33683.2919084977, 1600582.57332663 5300485.74964141 -33683.2919084977, 1590765.55188599 5309713.95943328 -40276.1846022478, 1580491.77784889 5298784.66087233 -40276.1846022478))",2d_linear_centroids_interior,172.88491450180183,-42.455558511691976
3,3,172.8835531802605,-42.37096040182558,172.75448734186946,-42.46637510368984,40.23981205302394,47.45696325994936,0.6940357291233284,"POLYGON Z ((1570508.88907642 5307700.27234463 -47456.9632599494, 1579816.36379091 5298411.37343812 -40239.8120530239, 1590412.3653505 5309028.56473098 -40239.8120530239, 1581104.89063601 5318317.4636375 -47456.9632599494, 1570508.88907642 5307700.27234463 -47456.9632599494))",2d_linear_centroids_interior,172.76266236462186,-42.3767552348415
