along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry
0,0,172.56779502937462,-42.664668217709405,172.27739012873477,-42.829512502195215,28.676830532355055,39.102204150467635,53.498266793143465,0.0017494476232455434,"POLYGON Z ((1524736.252670066 5278606.264591285 -53498.26679314346, 1540938.558679201 5257864.069423595 -39102.20415046764, 1564580.691028869 5276331.597085976 -39102.20415046764, 1548378.385019734 5297073.792253666 -53498.26679314346, 1524736.252670066 5278606.264591285 -53498.26679314346))"
1,0,173.40934580183762,-42.64499606422044,173.19361521465478,-42.86342893026402,18.12477712203318,19.853390770906756,29.1860140859147,1.8182322235389725,"POLYGON Z ((1592824.044167151 5271192.973423716 -29186.0140859147, 1615816.166027793 5254332.828869009 -19853.39077090676, 1633556.566303954 5278525.352467047 -19853.39077090676, 1610564.444443312 5295385.497021753 -29186.0140859147, 1592824.044167151 5271192.973423716 -29186.0140859147))"
1,1,173.1035424672019,-42.54160818352275,172.85721577537237,-42.7414044790882,25.054226965408315,28.43698054090554,41.14125566440958,0.36778643632543917,"POLYGON Z ((1568210.818225337 5286180.478461259 -41141.25566440957, 1588313.205581184 5267891.26261744 -28436.98054090554, 1608502.041514318 5290081.596181066 -28436.98054090554, 1588399.654158472 5308370.812024885 -41141.25566440957, 1568210.818225337 5286180.478461259 -41141.25566440957))"
1,2,172.81268063638404,-42.441717610106274,172.54165133629726,-42.62285979595924,28.43274183575666,40.77242678590489,55.05623105758512,0.01774307932101489,"POLYGON Z ((1544650.783792188 5300468.55776365 -55056.23105758512, 1562413.045430104 5280962.789462079 -40772.42678590489, 1584594.403885398 5301161.485882337 -40772.42678590489, 1566832.142247483 5320667.254183908 -55056.23105758512, 1544650.783792188 5300468.55776365 -55056.23105758512))"
2,0,174.18320668375586,-42.617597649124605,174.01275136228452,-42.856735209285056,5.128889803990268,14.48274555161814,17.164640898480982,0.4513924738241456,"POLYGON Z ((1656471.630495446 5268837.841172555 -17164.64089848098, 1682739.549504824 5254596.918861651 -14482.74555161814, 1697037.720027366 5280970.434359368 -14482.74555161814, 1670769.801017987 5295211.356670273 -17164.64089848098, 1656471.630495446 5268837.841172555 -17164.64089848098))"
2,1,173.86714484927893,-42.51818654183419,173.6533184733464,-42.73739524797622,11.041009077501707,16.376463704765534,22.12180989411163,6.989866037931331,"POLYGON Z ((1629741.065468604 5285563.148655194 -22121.80989411163, 1653477.219645871 5268139.429705511 -16376.46370476553, 1671229.527390234 5292323.217038131 -16376.46370476553, 1647493.373212967 5309746.935987814 -22121.80989411163, 1629741.065468604 5285563.148655194 -22121.80989411163))"
2,2,173.55164431171005,-42.402238122991236,173.32453151234796,-42.61379531811568,19.242437522660097,21.93132072529193,31.81830168407832,6.025320465032452,"POLYGON Z ((1604529.402613313 5299750.878724819 -31818.30168407832, 1626617.106262407 5282020.087568461 -21931.32072529193, 1645397.087492816 5305414.794341264 -21931.32072529193, 1623309.383843723 5323145.585497622 -31818.30168407832, 1604529.402613313 5299750.878724819 -31818.30168407832))"
2,3,173.25194595511107,-42.28803905123253,173.01602088646703,-42.49398307308722,27.052405152871575,32.15092915771745,45.79508702161208,1.6312604062752447,"POLYGON Z ((1580978.352920079 5312701.092268483 -45795.08702161208, 1601316.500480266 5295374.90659462 -32150.92915771745, 1620771.207944111 5318211.595441653 -32150.92915771745, 1600433.060383923 5335537.781115516 -45795.08702161208, 1580978.352920079 5312701.092268483 -45795.08702161208))"
2,4,172.96876807552724,-42.18233184245271,172.72074988784746,-42.380020233586734,29.429323057147133,45.81585727186442,60.556344146953826,0.055784547262445174,"POLYGON Z ((1557861.000250054 5325767.369662859 -60556.34414695382, 1577011.2736906 5307991.400664302 -45815.85727186441, 1597420.843341131 5329978.884983344 -45815.85727186441, 1578270.569900585 5347754.853981901 -60556.34414695382, 1557861.000250054 5325767.369662859 -60556.34414695382))"
3,0,174.45337899348638,-42.41650643534554,174.2847895286522,-42.656145152616865,5.252782120310017,13.692636434799802,16.439135595229022,0.4968708448796527,"POLYGON Z ((1679028.394394068 5290783.114507106 -16439.13559522902, 1705303.869701501 5276568.46925194 -13692.6364347998, 1719578.461342047 5302954.754202566 -13692.6364347998, 1693302.986034614 5317169.399457732 -16439.13559522902, 1679028.394394068 5290783.114507106 -16439.13559522902))"
