along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip deficit rate (mm/yr),tile_geometry,,,,
0,0,168.09394344451644,-44.368542578921016,167.95465287044402,-44.45908937128014,47.838778436356165,21.345681458118154,32.464567279044225,4.676611,"POLYGON Z ((1216298.282473725 5068442.268749293 -32464.56727904423, 1209093.370926856 5075475.022669557 -21345.68145811815, 1198615.787022169 5064740.953752309 -21345.68145811815, 1205820.698569037 5057708.199832045 -32464.56727904423, 1216298.282473725 5068442.268749293 -32464.56727904423))"
0,1,168.21399965048735,-44.414589553529886,168.0779823951815,-44.50775813467511,52.9588597257043,30.40029993546556,42.373347650698776,4.688336,"POLYGON Z ((1225581.528931097 5064779.523622831 -42373.34765069878, 1218959.342883635 5070927.106917228 -30400.29993546556, 1208753.993371898 5059933.888946893 -30400.29993546556, 1215376.179419361 5053786.305652496 -42373.34765069878, 1225581.528931097 5064779.523622831 -42373.34765069878))"
0,2,168.2766441337602,-44.443294483956436,168.16219085245208,-44.5503495202359,63.57316962553361,43.405091766942625,56.837643501948435,4.698587,"POLYGON Z ((1229661.522082462 5064289.107007492 -56837.64350194843, 1224131.487605158 5068028.7958403 -43405.09176694263, 1215728.72295378 5055603.275882827 -43405.09176694263, 1221258.757431084 5051863.58705002 -56837.64350194843, 1229661.522082462 5064289.107007492 -56837.64350194843))"
0,3,168.369889414664,-44.47942828603335,168.23521205982624,-44.573722253459586,74.39059595154232,56.6325233589461,71.0792995926717,4.705924,"POLYGON Z ((1234764.045996889 5061722.636032788 -71079.2995926717, 1231779.633298357 5064439.97614722 -56632.5233589461, 1221680.9217726 5053348.717178125 -56632.5233589461, 1224665.334471132 5050631.377063693 -71079.2995926717, 1234764.045996889 5061722.636032788 -71079.2995926717))"
1,0,167.92483573356805,-44.4565392521494,167.78222387023172,-44.544537512046766,45.109764968793854,18.26663672555145,28.893538671547553,4.724810,"POLYGON Z ((1203630.019868171 5057310.828754208 -28893.53867154755, 1196225.941319234 5064877.107619764 -18266.63672555145, 1185505.048811669 5054386.041713898 -18266.63672555145, 1192909.127360606 5046819.762848342 -28893.53867154755, 1203630.019868171 5057310.828754208 -28893.53867154755))"
1,1,168.05881793840192,-44.50739553756557,167.91637229804473,-44.59565598582845,50.04586476011704,25.548408675067456,37.046789825666146,4.736759,"POLYGON Z ((1213971.367737503 5053003.36176836 -37046.78982566614, 1207228.126783174 5059882.019511512 -25548.40867506746, 1196516.612947651 5049381.378038182 -25548.40867506746, 1203259.853901981 5042502.720295031 -37046.78982566614, 1213971.367737503 5053003.36176836 -37046.78982566614))"
1,2,168.15337575186982,-44.544627019393744,168.01580700502208,-44.636843241763316,55.82757477723216,37.5504352532827,49.96070014398878,4.746693,"POLYGON Z ((1221114.841838877 5050411.140702157 -49960.70014398878, 1214990.694715655 5056197.343892129 -37550.4352532827, 1204689.190351132 5045294.178854962 -37550.4352532827, 1210813.337474354 5039507.97566499 -49960.70014398878, 1221114.841838877 5050411.140702157 -49960.70014398878))"
2,0,167.7370671616165,-44.53849828647939,167.59310774721723,-44.6255034372396,44.104651598550184,17.98547301071577,28.425039449100453,4.772576,"POLYGON Z ((1189352.476247805 5047074.143515779 -28425.03944910045, 1181874.346143737 5054826.112473738 -17985.47301071577, 1171078.781439651 5044411.901859395 -17985.47301071577, 1178556.911543719 5036659.932901436 -28425.03944910045, 1189352.476247805 5047074.143515779 -28425.03944910045))"
2,1,167.87358481321357,-44.58967621310439,167.7279871131635,-44.675410583057925,47.527877860624066,26.239215597186707,37.30330507226067,4.783672,"POLYGON Z ((1200007.999860556 5042445.478230413 -37303.30507226067, 1193078.645276444 5049832.627148311 -26239.21559718671, 1182138.471369438 5039570.434649412 -26239.21559718671, 1189067.82595355 5032183.285731514 -37303.30507226067, 1200007.999860556 5042445.478230413 -37303.30507226067))"
2,2,167.98084600607405,-44.63181028683015,167.8369544984244,-44.71910804707795,54.24627546489183,37.51635522903957,49.689395242039396,4.793988,"POLYGON Z ((1207965.483712432 5039373.613007016 -49689.3952420394, 1201881.747839215 5045682.753571851 -37516.35522903957, 1191084.01649829 5035270.789401282 -37516.35522903957, 1197167.752371507 5028961.648836447 -49689.3952420394, 1207965.483712432 5039373.613007016 -49689.3952420394))"
