along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),tile_geometry
0,0,172.40107614464486,-43.43334115795138,172.75648125690833,-43.51061874739195,5.226842965906489,25.114061123121065,27.847035329682324,"POLYGON Z ((1571914.547938515 5153781.011738726 -27847.03532968232, 1580316.338288849 5182450.521167653 -25114.06112312106, 1551527.118335325 5190887.393483127 -25114.06112312106, 1543125.327984991 5162217.884054201 -27847.03532968232, 1571914.547938515 5153781.011738726 -27847.03532968232))"
0,1,172.49621182988741,-43.36526929797794,172.32545047026247,-43.605074715976876,9.734045452813003,25.336900717415112,30.409152516175244,"POLYGON Z ((1519215.876214091 5185192.022254059 -30409.15251617524, 1545561.095070358 5171768.099388319 -25336.90071741511, 1559181.10276517 5198498.145972515 -25336.90071741511, 1532835.883908902 5211922.068838255 -30409.15251617524, 1519215.876214091 5185192.022254059 -30409.15251617524))"
0,2,172.2359969171218,-43.26540762784276,171.95021034914808,-43.43707470878115,10.381991487278171,31.370353635086232,36.77665339850939,"POLYGON Z ((1496042.012375882 5212689.825571165 -36776.65339850939, 1515042.106277418 5190111.775287741 -31370.35363508623, 1537995.953252262 5209428.113166734 -31370.35363508623, 1518995.859350727 5232006.163450158 -36776.65339850939, 1496042.012375882 5212689.825571165 -36776.65339850939))"
0,3,171.9566100430837,-43.1064566902838,171.6470483743107,-43.253558388209164,15.951250254570914,34.24831614876199,42.49289733316772,"POLYGON Z ((1474123.699855221 5234103.677324074 -42492.89733316772, 1490177.041390021 5210138.763248267 -34248.31614876199, 1515101.656011696 5226834.977967807 -34248.31614876199, 1499048.314476896 5250799.892043615 -42492.89733316772, 1474123.699855221 5234103.677324074 -42492.89733316772))"
1,0,172.7908088525565,-43.220470174910886,173.0527972378835,-43.41120384940677,4.853161178198332,22.779796979712057,25.317868701252777,"POLYGON Z ((1583188.539592091 5172330.606913207 -25317.86870125278, 1604274.607330814 5193518.71535295 -22779.79697971206, 1583010.261765423 5214680.653063746 -22779.79697971206, 1561924.1940267 5193492.544624004 -25317.86870125278, 1583188.539592091 5172330.606913207 -25317.86870125278))"
1,1,172.76515437978568,-43.18690458812977,172.57553134786193,-43.418840912325415,10.986172975163198,23.752081625379834,29.46924452254439,"POLYGON Z ((1540293.112797761 5207582.510313489 -29469.24452254439, 1565638.169424655 5192584.438671215 -23752.08162537983, 1580916.239161059 5218402.660630318 -23752.08162537983, 1555571.182534166 5233400.732272593 -29469.24452254439, 1540293.112797761 5207582.510313489 -29469.24452254439))"
1,2,172.50288038173784,-43.059434400090026,172.2414747135377,-43.25008321643529,13.81463350078603,30.320464258090677,37.48390866352047,"POLYGON Z ((1517710.933653697 5231618.367930338 -37483.90866352047, 1538425.074876003 5211133.997847939 -30320.46425809068, 1559519.640580963 5232465.179196358 -30320.46425809068, 1538805.499358657 5252949.549278757 -37483.90866352047, 1517710.933653697 5231618.367930338 -37483.90866352047))"
1,3,172.22500725994993,-42.932794974882235,171.90517445561915,-43.06644358787594,18.252402178577515,36.33182793241866,45.72793662911517,"POLYGON Z ((1496488.022531374 5255826.030057102 -45727.93662911517, 1510858.41390404 5231225.115579054 -36331.82793241866, 1536762.675512435 5246356.844843213 -36331.82793241866, 1522392.284139769 5270957.759321261 -45727.93662911517, 1496488.022531374 5255826.030057102 -45727.93662911517))"
2,0,173.1969708470613,-43.06169748070042,173.28070383203024,-43.32480124343192,5.706292707745021,19.838361819096193,22.82123285632347,"POLYGON Z ((1593666.066866684 5196390.46886658 -22821.23285632347, 1622758.828640335 5203077.298665285 -19838.36181909619, 1616038.6982828 5232314.943029662 -19838.36181909619, 1586945.936509149 5225628.113230957 -22821.23285632347, 1593666.066866684 5196390.46886658 -22821.23285632347))"
2,1,173.03247764917683,-42.99918866044964,172.84489909184845,-43.231772688790045,12.261067916105715,21.690305337030143,28.061298581155324,"POLYGON Z ((1562155.254262401 5228329.015551653 -28061.29858115532, 1587405.600625861 5213435.041816996 -21690.30533703014, 1602647.234481205 5239274.790217854 -21690.30533703014, 1577396.888117746 5254168.76395251 -28061.29858115532, 1562155.254262401 5228329.015551653 -28061.29858115532))"
