Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,335.406132,291.081848,315.647114,385.070691,439.541498,0.002981,0.002275,0.002597,0.003168,0.003435
Akatore - Big Creek trench,-46.147720,170.118515,8433.485786,3120.100432,5886.833634,14187.033240,34874.651955,0.000119,0.000029,0.000070,0.000170,0.000321
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,267.471386,183.970823,230.455673,387.126833,542.076333,0.003739,0.001845,0.002583,0.004339,0.005436
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.249173,203.101489,258.421162,454.901380,657.104322,0.003298,0.001522,0.002198,0.003870,0.004924
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,261.659890,233.393345,251.629826,328.223043,399.345316,0.003822,0.002504,0.003047,0.003974,0.004285
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,335.593576,219.691037,280.425992,454.532862,585.113015,0.002980,0.001709,0.002200,0.003566,0.004552
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,282.960076,148.734576,230.437054,620.274592,982.099852,0.003534,0.001018,0.001612,0.004340,0.006723
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,270.406392,152.367682,220.513742,517.435859,843.563431,0.003698,0.001185,0.001933,0.004535,0.006563
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,391.213991,208.292048,300.587010,565.240033,737.598094,0.002556,0.001356,0.001769,0.003327,0.004801
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,261.249776,224.537252,249.012268,340.237330,442.587400,0.003828,0.002259,0.002939,0.004016,0.004454
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,281.370621,160.738372,225.944993,467.209492,728.035978,0.003554,0.001374,0.002140,0.004426,0.006221
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.349945,172.223297,388.017407,226.108373,310.061205,541.204069,701.477658,0.002577,0.001426,0.001848,0.003225,0.004423
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.349705,172.223785,388.014609,220.654092,307.877814,544.472160,706.926343,0.002577,0.001415,0.001837,0.003248,0.004532
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1005.782421,590.610057,823.852958,1691.516550,2596.499005,0.000994,0.000385,0.000591,0.001214,0.001693
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,2224.332936,1292.456725,1777.694042,3277.518477,4446.499286,0.000450,0.000225,0.000305,0.000563,0.000774
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3130.483172,1896.419766,2601.598855,5220.835472,7991.181894,0.000319,0.000125,0.000192,0.000384,0.000527
Dunstan - T04/2,-45.034107,169.531296,4519.440023,2540.843870,3798.269463,10122.380529,16076.660540,0.000221,0.000062,0.000099,0.000263,0.000394
Te Ikaarongamai - Pakarae River mouth,-38.569973,178.292000,1248.033828,710.000651,1021.688836,2253.599281,3248.033014,0.000801,0.000308,0.000444,0.000979,0.001408
Gable End North - Puatai Beach trench,-38.464764,178.418500,1086.357574,536.304097,800.594056,1586.856684,1818.110398,0.000921,0.000550,0.000630,0.001249,0.001865
Hohonu South - Lower Mikonui River exposure,-42.909340,170.772720,16289.104975,7647.517932,13158.095177,41712.904536,78283.098980,0.000061,0.000013,0.000024,0.000076,0.000131
Inglewood - Egmont Road trenches,-39.172672,174.148392,6071.159433,3084.481459,4898.611784,13084.321788,19500.148548,0.000165,0.000051,0.000076,0.000204,0.000324
Inglewood - Everett Park trench,-39.124008,174.284409,6073.074184,3090.333969,4893.851308,13217.777492,20108.138610,0.000165,0.000050,0.000076,0.000204,0.000324
Kaiapo - Te Mihi outcrop,-38.620430,176.050125,5589.278731,2875.787854,4530.824843,11805.289748,17232.271503,0.000179,0.000058,0.000085,0.000221,0.000348
Kaiapo - Lilburn trench fault zone A,-38.620167,176.052017,2738.584464,1266.394979,2205.182476,7027.136442,13299.943812,0.000365,0.000075,0.000142,0.000453,0.000790
Kekerengu 1 - Kekerengu Trench 1,-41.970585,174.027832,439.957877,227.439652,351.681076,861.724815,1378.307576,0.002273,0.000726,0.001160,0.002843,0.004397
Kina - Kina Fault trench,-39.377590,173.866852,1640.413901,880.836567,1292.570075,2854.317864,4643.228967,0.000610,0.000215,0.000350,0.000774,0.001135
Lachlan 3 - Table Cape trenches,-39.105190,177.999466,1191.016728,662.865232,971.851822,2214.983914,3220.986764,0.000840,0.000310,0.000451,0.001029,0.001509
Maleme - Huffadine trench,-38.298466,176.229462,4382.951914,2798.748400,3653.715376,6620.953703,9688.776380,0.000228,0.000103,0.000151,0.000274,0.000357
Mohaka South - McCool 1 Trench,-39.583759,176.388275,3011.468104,1542.237393,2391.126248,6374.373954,11206.510515,0.000332,0.000089,0.000157,0.000418,0.000648
Mokonui Southwest - Viewfield Trench,-40.895351,175.635971,1926.375926,1011.566219,1547.064584,3599.808317,5920.301233,0.000519,0.000169,0.000278,0.000646,0.000989
Oaonui - Oaonui coastal cliff exposure,-39.396492,173.785492,3812.061947,2014.375176,3047.227939,7727.750587,13205.792458,0.000262,0.000076,0.000129,0.000328,0.000496
Ohariu - Taupo Swamp,-41.084667,174.894700,1582.806409,795.206059,1260.831423,3232.309029,4530.115895,0.000632,0.000221,0.000309,0.000793,0.001258
Ohariu - MacKays Crossing Trench,-40.970287,174.983612,2247.175859,1166.311928,1828.462805,4944.466929,7963.095924,0.000445,0.000126,0.000202,0.000547,0.000857
Pihama - Pihama coastal cliff exposure,-39.511650,173.909088,3387.216368,1813.990176,2699.658254,6102.488240,10064.687538,0.000295,0.000099,0.000164,0.000370,0.000551
Porters Pass - Porters Pass Trench 1,-43.297096,171.744019,1721.886885,1038.091278,1423.328240,2829.443151,4331.867303,0.000581,0.000231,0.000353,0.000703,0.000963
Ruahine North - Davis Trenches,-39.282070,176.468613,1838.149864,1016.095249,1490.683480,3558.532204,5863.675043,0.000544,0.000171,0.000281,0.000671,0.000984
Titri Central - Clarendon T16/03 trench,-46.057114,170.030579,9362.639102,5094.925278,7553.128441,17863.925041,30632.924805,0.000107,0.000033,0.000056,0.000132,0.000196
Waimana North - Moana trench,-38.086498,177.133118,3189.989628,1327.909692,2501.584318,7895.973466,10627.024039,0.000313,0.000094,0.000127,0.000400,0.000753
Waimana North - Te Hoe / Hautapu Trench,-38.989807,176.785660,1787.438306,724.756222,1416.735253,5123.765778,10511.316806,0.000559,0.000095,0.000195,0.000706,0.001380
Waimana North - Ahirau 1 trench,-38.282352,177.120819,3355.472203,1588.506856,2667.285699,7912.382835,13752.668298,0.000298,0.000073,0.000126,0.000375,0.000630
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3860.685546,891.278925,2977.888983,15711.560617,24218.509313,0.000259,0.000041,0.000064,0.000336,0.001122
Wairarapa - Turakirae Head,-41.435307,174.917267,2646.266740,1578.574019,2175.884632,4371.001137,6401.857222,0.000378,0.000156,0.000229,0.000460,0.000633
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2127.880820,1010.311264,1610.406979,3723.787540,4567.400357,0.000470,0.000219,0.000269,0.000621,0.000990
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2786.908240,1215.107685,2038.110551,4776.956154,6638.831490,0.000359,0.000151,0.000209,0.000491,0.000823
Wairau - Wadsworth Trench,-41.582134,173.509796,1104.865364,526.791175,859.918673,2192.428668,3008.917635,0.000905,0.000332,0.000456,0.001163,0.001898
Wairau - Dillon Trench,-41.570991,173.543320,1971.196383,967.652923,1542.656203,3788.423729,5057.770591,0.000507,0.000198,0.000264,0.000648,0.001033
