Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,334.205407,290.287566,315.018000,380.681568,432.700758,0.002992,0.002311,0.002627,0.003174,0.003445
Akatore - Big Creek trench,-46.147720,170.118515,8382.191145,2991.596012,5797.659232,14166.619713,33956.749793,0.000119,0.000029,0.000071,0.000172,0.000334
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,266.553930,183.788764,230.502846,387.908988,544.299608,0.003752,0.001837,0.002578,0.004338,0.005441
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.898958,203.568072,258.999501,456.335386,666.974814,0.003291,0.001499,0.002191,0.003861,0.004912
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,261.051862,233.274409,251.456014,328.222795,399.939129,0.003831,0.002500,0.003047,0.003977,0.004287
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,329.357417,218.878378,275.122252,426.980713,529.023170,0.003036,0.001890,0.002342,0.003635,0.004569
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,283.324286,148.524606,232.860816,653.159307,1250.425584,0.003530,0.000800,0.001531,0.004294,0.006733
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,269.836699,153.793910,222.716294,522.317677,888.028286,0.003706,0.001126,0.001915,0.004490,0.006502
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,376.767208,216.642061,295.285804,490.679022,604.185456,0.002654,0.001655,0.002038,0.003387,0.004616
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,261.451736,223.806218,249.726083,341.062749,443.507929,0.003825,0.002255,0.002932,0.004004,0.004468
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,275.539609,159.095714,222.900588,468.549352,723.768848,0.003629,0.001382,0.002134,0.004486,0.006286
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.349945,172.223297,367.621317,218.194562,294.989736,497.617967,633.628696,0.002720,0.001578,0.002010,0.003390,0.004583
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.349705,172.223785,367.153038,213.100069,291.745729,499.000174,636.861390,0.002724,0.001570,0.002004,0.003428,0.004693
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1005.868072,594.122239,828.626488,1695.746853,2611.949502,0.000994,0.000383,0.000590,0.001207,0.001683
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,2170.630966,1323.230115,1762.297913,3000.469105,3922.511481,0.000461,0.000255,0.000333,0.000567,0.000756
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3161.511499,1883.925845,2600.329015,5227.140639,8044.993109,0.000316,0.000124,0.000191,0.000385,0.000531
Dunstan - T04/2,-45.034107,169.531296,4491.043509,2562.264150,3811.378401,11306.063909,26442.389541,0.000223,0.000038,0.000088,0.000262,0.000390
Te Ikaarongamai - Pakarae River mouth,-38.569973,178.292000,1396.196838,798.783677,1138.273075,2474.185901,3783.645007,0.000716,0.000264,0.000404,0.000879,0.001252
Gable End North - Puatai Beach trench,-38.464764,178.418500,1303.302558,701.787400,1043.607822,2348.740343,3707.143578,0.000767,0.000270,0.000426,0.000958,0.001425
Hohonu South - Lower Mikonui River exposure,-42.909340,170.772720,16373.182425,7647.583224,13144.023666,42275.158004,83773.283335,0.000061,0.000012,0.000024,0.000076,0.000131
Inglewood - Egmont Road trenches,-39.172672,174.148392,6041.496374,3148.633338,4970.521548,14203.063150,26537.738731,0.000166,0.000038,0.000070,0.000201,0.000318
Inglewood - Everett Park trench,-39.124008,174.284409,6060.467064,3142.682058,4949.511266,14203.406809,26509.378718,0.000165,0.000038,0.000070,0.000202,0.000318
Kaiapo - Te Mihi outcrop,-38.620430,176.050125,5590.107461,2925.231211,4595.067831,12989.999879,24221.366734,0.000179,0.000041,0.000077,0.000218,0.000342
Kaiapo - Lilburn trench fault zone A,-38.620167,176.052017,2746.934347,1289.699403,2220.370460,7143.130521,14221.128818,0.000364,0.000070,0.000140,0.000450,0.000775
Kekerengu 1 - Kekerengu Trench 1,-41.970585,174.027832,479.101983,246.063875,379.744650,910.854758,1391.382950,0.002087,0.000719,0.001098,0.002633,0.004064
Kina - Kina Fault trench,-39.377590,173.866852,1539.553381,854.510504,1234.450251,2685.129285,4412.128134,0.000650,0.000227,0.000372,0.000810,0.001170
Lachlan 3 - Table Cape trenches,-39.105190,177.999466,1188.578899,670.342150,979.938130,2321.520710,3963.725474,0.000841,0.000252,0.000431,0.001020,0.001492
Maleme - Huffadine trench,-38.298466,176.229462,4371.054247,2820.853606,3671.406170,6607.184376,9707.585658,0.000229,0.000103,0.000151,0.000272,0.000355
Mohaka South - McCool 1 Trench,-39.583759,176.388275,3038.565916,1560.052129,2420.958891,6351.185414,11254.610886,0.000329,0.000089,0.000157,0.000413,0.000641
Mokonui Southwest - Viewfield Trench,-40.895351,175.635971,1938.355459,1052.874700,1558.863705,3605.819226,5951.768249,0.000516,0.000168,0.000277,0.000641,0.000950
Oaonui - Oaonui coastal cliff exposure,-39.396492,173.785492,3884.924232,1991.559620,3068.723065,7865.987066,13496.109400,0.000257,0.000074,0.000127,0.000326,0.000502
Ohariu - Taupo Swamp,-41.084667,174.894700,1577.681991,808.705792,1287.406207,3660.538050,6929.960031,0.000634,0.000144,0.000273,0.000777,0.001237
Ohariu - MacKays Crossing Trench,-40.970287,174.983612,2255.756901,1171.070697,1836.804028,5165.470686,9745.256880,0.000443,0.000103,0.000194,0.000544,0.000854
Pihama - Pihama coastal cliff exposure,-39.511650,173.909088,3211.090000,1732.605106,2568.713805,5953.934390,9910.156039,0.000311,0.000101,0.000168,0.000389,0.000577
Porters Pass - Porters Pass Trench 1,-43.297096,171.744019,1715.427199,1047.669932,1429.245513,2843.319726,4335.953617,0.000583,0.000231,0.000352,0.000700,0.000954
Poutu - Poutu transect 6- fault 6d,-39.137951,175.700501,45876.970443,21457.927263,36568.053430,112928.155306,218159.391106,0.000022,0.000005,0.000009,0.000027,0.000047
