Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,333.480861,290.140500,315.129537,379.944852,430.703834,0.002999,0.002322,0.002632,0.003173,0.003447
Akatore - Big Creek trench,-46.147720,170.118515,8410.023984,2881.360185,5796.053234,14216.277597,34711.658877,0.000119,0.000029,0.000070,0.000173,0.000347
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,266.967814,184.075446,229.844238,387.492300,544.123277,0.003746,0.001838,0.002581,0.004351,0.005433
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.413539,203.919360,259.502700,456.267725,667.484417,0.003296,0.001498,0.002192,0.003854,0.004904
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,261.095040,233.304390,251.494633,327.287313,400.048286,0.003830,0.002500,0.003055,0.003976,0.004286
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,327.816767,218.083234,274.316788,424.272934,524.243697,0.003050,0.001908,0.002357,0.003645,0.004585
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,283.357954,148.446996,232.852826,652.114573,1251.257598,0.003529,0.000799,0.001533,0.004295,0.006736
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,270.238032,154.027028,223.049322,521.676385,887.917124,0.003700,0.001126,0.001917,0.004483,0.006492
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,373.644149,216.055905,293.867557,485.645769,594.896472,0.002676,0.001681,0.002059,0.003403,0.004628
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,260.998552,224.597604,249.276213,341.820996,444.237223,0.003831,0.002251,0.002926,0.004012,0.004452
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,276.772405,159.380045,225.119767,469.295877,725.993839,0.003613,0.001377,0.002131,0.004442,0.006274
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.359945,172.208297,383.521952,226.502541,306.258433,522.596288,667.153841,0.002607,0.001499,0.001914,0.003265,0.004415
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.359705,172.208785,383.248052,220.246949,303.990635,524.316285,671.864684,0.002609,0.001488,0.001907,0.003290,0.004540
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1004.321556,593.234264,827.363450,1698.541817,2613.279102,0.000996,0.000383,0.000589,0.001209,0.001686
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,2314.153626,1389.623209,1879.440648,3410.120147,4732.627233,0.000432,0.000211,0.000293,0.000532,0.000720
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3159.102675,1896.769075,2594.058111,5238.947559,8028.103704,0.000317,0.000125,0.000191,0.000385,0.000527
Dunstan - T04/2,-45.034107,169.531296,4501.152232,2568.263062,3820.038905,11330.693968,26462.454903,0.000222,0.000038,0.000088,0.000262,0.000389
Te Ikaarongamai - Pakarae River mouth,-38.569973,178.292000,1282.654130,756.260789,1051.393457,2157.039721,3280.305846,0.000780,0.000305,0.000464,0.000951,0.001322
Gable End North - Puatai Beach trench,-38.464764,178.418500,1210.672913,670.305454,974.675696,2148.045036,3387.581820,0.000826,0.000295,0.000466,0.001026,0.001492
Hohonu South - Lower Mikonui River exposure,-42.909340,170.772720,16340.284672,7629.376798,13116.562860,42198.648991,83764.083413,0.000061,0.000012,0.000024,0.000076,0.000131
Inglewood - Egmont Road trenches,-39.172672,174.148392,6059.598058,3143.119189,4973.545257,14223.298324,26523.761504,0.000165,0.000038,0.000070,0.000201,0.000318
Inglewood - Everett Park trench,-39.124008,174.284409,6041.609984,3131.457818,4951.799914,14197.221611,26436.627019,0.000166,0.000038,0.000070,0.000202,0.000319
Kekerengu 1 - Kekerengu Trench 1,-41.970585,174.027832,470.909682,244.070223,379.816671,1012.109337,1637.257453,0.002124,0.000611,0.000988,0.002633,0.004097
Kina - Kina Fault trench,-39.377590,173.866852,1376.771872,726.927175,1106.482485,2866.238918,5270.089210,0.000726,0.000190,0.000349,0.000904,0.001376
Lachlan 3 - Table Cape trenches,-39.105190,177.999466,1191.119162,671.216768,977.306489,2323.200998,3961.681270,0.000840,0.000252,0.000430,0.001023,0.001490
Mohaka South - McCool 1 Trench,-39.583759,176.388275,3042.925204,1579.704841,2431.706571,6358.323240,11248.072300,0.000329,0.000089,0.000157,0.000411,0.000633
Mokonui Southwest - Viewfield Trench,-40.895351,175.635971,1925.592760,1034.923194,1543.877232,3625.961932,5939.389377,0.000519,0.000168,0.000276,0.000648,0.000966
Oaonui - Oaonui coastal cliff exposure,-39.396492,173.785492,4727.145968,2304.107706,3595.542347,9055.369987,15768.272823,0.000212,0.000063,0.000110,0.000278,0.000434
Ohariu - Taupo Swamp,-41.084667,174.894700,1577.387680,813.694232,1289.106047,3656.049979,6933.356961,0.000634,0.000144,0.000274,0.000776,0.001229
Ohariu - MacKays Crossing Trench,-40.970287,174.983612,2247.677925,1161.947222,1839.810836,5160.193621,9744.389922,0.000445,0.000103,0.000194,0.000544,0.000861
Pihama - Pihama coastal cliff exposure,-39.511650,173.909088,3164.094478,1642.410266,2508.770621,6240.784454,10750.301170,0.000316,0.000093,0.000160,0.000399,0.000609
Porters Pass - Porters Pass Trench 1,-43.297096,171.744019,1716.576194,1055.059452,1428.222742,2841.720054,4345.681193,0.000583,0.000230,0.000352,0.000700,0.000948
Ruahine North - Davis Trenches,-39.282070,176.468613,1836.811326,1018.973952,1505.003020,3598.666696,6169.012726,0.000544,0.000162,0.000278,0.000664,0.000981
Titri Central - Clarendon T16/03 trench,-46.057114,170.030579,8291.081522,4439.940028,6756.416115,17296.382308,31716.445946,0.000121,0.000032,0.000058,0.000148,0.000225
Waimana North - Moana trench,-38.086498,177.133118,3220.489687,1399.007192,2689.821559,11323.935437,27100.555479,0.000311,0.000037,0.000088,0.000372,0.000715
Waimana North - Te Hoe / Hautapu Trench,-38.989807,176.785660,1821.833022,754.189659,1439.590337,5182.932499,10745.222614,0.000549,0.000093,0.000193,0.000695,0.001326
Waimana North - Ahirau 1 trench,-38.282352,177.120819,3344.542918,1619.934999,2694.280916,8103.706849,15567.583745,0.000299,0.000064,0.000123,0.000371,0.000617
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3892.913240,977.025113,3198.654163,20916.145830,53129.767042,0.000257,0.000019,0.000048,0.000313,0.001024
Wairarapa - Turakirae Head,-41.435307,174.917267,2645.958972,1587.527306,2185.965463,4463.603225,7107.449412,0.000378,0.000141,0.000224,0.000457,0.000630
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2129.547984,1048.843881,1712.133172,5005.707583,9511.500353,0.000470,0.000105,0.000200,0.000584,0.000953
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2843.265227,1281.991633,2051.046282,4321.147353,5794.396620,0.000352,0.000173,0.000231,0.000488,0.000780
Wairau - Wadsworth Trench,-41.582134,173.509796,1110.109393,536.667101,877.032849,2482.671268,4635.854585,0.000901,0.000216,0.000403,0.001140,0.001863
Wairau - Dillon Trench,-41.570991,173.543320,1971.486541,989.962496,1580.011633,4371.397932,8115.940528,0.000507,0.000123,0.000229,0.000633,0.001010
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2487.899370,1600.728316,2086.849441,3715.355212,5343.860983,0.000402,0.000187,0.000269,0.000479,0.000625
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1340.405810,590.339698,1151.540243,5295.790419,12353.966501,0.000746,0.000081,0.000189,0.000868,0.001694
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1662.990326,950.258630,1357.533885,2801.509789,4226.973182,0.000601,0.000237,0.000357,0.000737,0.001052
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,1097.790759,544.818408,882.092324,2395.903159,4207.770013,0.000911,0.000238,0.000417,0.001134,0.001835
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,905.160852,484.078244,734.935968,1833.931711,3183.785177,0.001105,0.000314,0.000545,0.001361,0.002066
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1021.781571,579.653254,831.592295,1824.528514,2931.084300,0.000979,0.000341,0.000548,0.001203,0.001725
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,694.484258,362.134464,557.113010,1407.928484,2533.486454,0.001440,0.000395,0.000710,0.001795,0.002761
Whakatane North - Te Whetu trench,-38.137844,177.014114,9034.944421,5177.755003,7408.418763,16331.073801,26462.005042,0.000111,0.000038,0.000061,0.000135,0.000193
Whakatane South - Thalassa trench,-38.612709,176.968338,2832.550286,1588.368805,2323.922636,5532.189348,9476.009891,0.000353,0.000106,0.000181,0.000430,0.000630
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1060.651729,885.420479,991.374258,1211.432106,1428.773191,0.000943,0.000700,0.000825,0.001009,0.001129
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,261.223249,145.324305,206.651998,408.305766,553.829104,0.003828,0.001806,0.002449,0.004839,0.006881
Hope Hope River - Hope Shelter trenches combined,-42.615269,172.298904,276.445392,163.004328,227.427648,482.319916,759.620295,0.003617,0.001316,0.002073,0.004397,0.006135
Poukawa - Combined Poukawa trenches,-39.896397,176.609000,5746.363105,2849.493738,4536.990457,11849.476236,20736.958953,0.000174,0.000048,0.000084,0.000220,0.000351
Wairarapa 2 - Cross Creek South combined (1- 4),-41.170505,175.242767,1700.421336,977.739121,1364.057724,2622.923519,3515.452707,0.000588,0.000284,0.000381,0.000733,0.001023
Wairarapa 2 - Cross Creek North combined (2- 3),-41.170269,175.242127,2199.971255,1217.523081,1710.412335,3135.794769,4054.966619,0.000455,0.000247,0.000319,0.000585,0.000821
Alfredton South_993-999_Combined,-40.702823,175.840539,5684.210526,553.456723,1898.941225,12558.933021,62653.840698,0.000176,0.000016,0.000080,0.000527,0.001807
Flaxmore - Waimea - Tahunanui_5507_Wairoa-2 trench,-41.388778,173.152728,1641.384373,516.190419,914.738657,3339.611483,12788.978573,0.000609,0.000078,0.000299,0.001093,0.001937
Fox Peak_4035_Trench 4,-43.872320,170.828035,2419.243986,749.683651,1352.313117,4889.508231,18567.149134,0.000413,0.000054,0.000205,0.000739,0.001334
Greendale_5000-5277_Combined,-43.597316,172.180445,5970.149254,511.715654,1717.359521,12082.395968,62015.730883,0.000168,0.000016,0.000083,0.000582,0.001954
Hope Conway_666-675_Combined,-42.425213,173.292386,393.382740,55.500739,206.777632,606.783333,823.406409,0.002542,0.001214,0.001648,0.004836,0.018018
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,2093.023256,301.880382,1037.142785,4079.294148,10931.257754,0.000478,0.000091,0.000245,0.000964,0.003313
Hundalee_5339-5365_Combined,-42.584562,173.416141,777.202073,110.762207,380.211668,1556.981091,4583.148131,0.001287,0.000218,0.000642,0.002630,0.009028
Jordan_766-794_Combined,-42.210785,173.723749,1893.129771,279.746696,976.200987,3274.772592,5898.552158,0.000528,0.000170,0.000305,0.001024,0.003575
Leader Central_5664-5686_Combined,-42.544741,173.283602,2666.666667,234.787549,788.193807,5465.513054,27241.145962,0.000375,0.000037,0.000183,0.001269,0.004259
Leader North_5523-5543and5603_Combined,-42.441203,173.287058,800.000000,114.805969,393.625100,1583.118142,4455.501754,0.001250,0.000224,0.000632,0.002540,0.008710
Leader North_5677-5679_Combined,-42.459884,173.265977,800.000000,110.165565,389.858741,1592.734818,4480.413932,0.001250,0.000223,0.000628,0.002565,0.009077
Leader South_5658-5674_Combined,-42.598138,173.227687,1212.121212,163.060048,557.341441,2650.198256,10178.563940,0.000825,0.000098,0.000377,0.001794,0.006133
Papatea_5389-5494_Combined ,-42.161982,173.868948,25600.000000,1001.301525,3355.139022,27470.510453,152684.680404,0.000039,0.000007,0.000036,0.000298,0.000999
The Humps_5565-5696_Combined ,-42.618360,173.077671,3698.620001,266.038417,901.332973,6712.681045,35746.989833,0.000270,0.000028,0.000149,0.001109,0.003759
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,2410.958904,357.219827,1242.834561,4184.845871,7624.985530,0.000415,0.000131,0.000239,0.000805,0.002799
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,12000.000000,700.451587,2419.188360,18571.306326,91374.986847,0.000083,0.000011,0.000054,0.000413,0.001428
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,8866.951381,981.356493,3304.514794,19669.231190,79661.755406,0.000113,0.000013,0.000051,0.000303,0.001019
