Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,335.383348,291.276944,315.731980,383.856723,438.880553,0.002982,0.002279,0.002605,0.003167,0.003433
Akatore - Big Creek trench,-46.147720,170.118515,8463.000000,2866.500000,5760.300000,14223.300000,34425.300000,0.000118,0.000029,0.000070,0.000174,0.000349
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,267.206357,183.235068,229.981971,387.536348,541.627992,0.003742,0.001846,0.002580,0.004348,0.005457
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.609326,203.378335,259.582629,454.424182,654.886165,0.003294,0.001527,0.002201,0.003852,0.004917
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,260.898256,232.725695,250.901541,327.240095,399.943480,0.003833,0.002500,0.003056,0.003986,0.004297
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,334.853453,219.611680,279.624377,452.704473,581.427359,0.002986,0.001720,0.002209,0.003576,0.004553
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,282.132921,148.381731,231.236450,619.469993,991.132592,0.003544,0.001009,0.001614,0.004325,0.006739
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,270.003084,152.121044,222.607212,516.704673,842.399381,0.003704,0.001187,0.001935,0.004492,0.006574
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,388.862289,207.425305,299.828225,561.636499,728.154262,0.002572,0.001373,0.001781,0.003335,0.004821
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,262.334287,222.872104,249.931887,340.131162,443.860329,0.003812,0.002253,0.002940,0.004001,0.004487
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,294.105413,186.443011,247.327956,467.107757,646.792594,0.003400,0.001546,0.002141,0.004043,0.005364
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.349945,172.223297,402.534046,233.239128,321.293451,566.587635,733.261889,0.002484,0.001364,0.001765,0.003112,0.004287
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.349705,172.223785,496.665125,268.545448,400.243406,978.773720,1618.449515,0.002013,0.000618,0.001022,0.002498,0.003724
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1010.993184,595.912582,823.978847,1690.630654,2593.773063,0.000989,0.000386,0.000591,0.001214,0.001678
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,2304.458547,1313.945663,1839.523928,3577.975113,5114.280811,0.000434,0.000196,0.000279,0.000544,0.000761
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3162.694723,1895.465503,2567.872844,5205.778569,7998.855218,0.000316,0.000125,0.000192,0.000389,0.000528
Dunstan - T04/2,-45.034107,169.531296,4529.412507,2530.108359,3800.694173,10116.253069,16207.590939,0.000221,0.000062,0.000099,0.000263,0.000395
Te Ikaarongamai - Pakarae River mouth,-38.569973,178.292000,1215.060000,681.170000,975.730000,2080.330000,3037.650000,0.000823,0.000329,0.000481,0.001025,0.001468
Gable End North - Puatai Beach trench,-38.464764,178.418500,1078.220000,501.930000,762.190000,1542.970000,1803.230000,0.000927,0.000555,0.000648,0.001312,0.001992
Hohonu South - Lower Mikonui River exposure,-42.909340,170.772720,16311.826063,7607.408391,13134.022786,41872.417639,80006.056964,0.000061,0.000012,0.000024,0.000076,0.000131
Inglewood - Egmont Road trenches,-39.172672,174.148392,6059.813854,3102.638424,4881.390563,13108.119203,19600.564508,0.000165,0.000051,0.000076,0.000205,0.000322
Inglewood - Everett Park trench,-39.124008,174.284409,6058.313499,3099.650457,4862.258227,12877.926894,18795.252979,0.000165,0.000053,0.000078,0.000206,0.000323
Kaiapo - Te Mihi outcrop,-38.620430,176.050125,5593.927326,2880.007554,4496.810823,11810.920847,17200.265075,0.000179,0.000058,0.000085,0.000222,0.000347
Kaiapo - Lilburn trench fault zone A,-38.620167,176.052017,2725.491334,1298.597750,2204.561930,7051.470292,13438.517760,0.000367,0.000074,0.000142,0.000454,0.000770
Kekerengu 1 - Kekerengu Trench 1,-41.970585,174.027832,436.302840,227.775747,349.683894,914.311099,1536.684268,0.002292,0.000651,0.001094,0.002860,0.004390
Kina - Kina Fault trench,-39.377590,173.866852,1405.868741,748.284975,1111.089811,2879.763388,5192.644220,0.000711,0.000193,0.000347,0.000900,0.001336
Lachlan 3 - Table Cape trenches,-39.105190,177.999466,1190.021627,662.692604,971.198019,2212.394223,3224.005003,0.000840,0.000310,0.000452,0.001030,0.001509
Maleme - Huffadine trench,-38.298466,176.229462,4368.653625,2821.970659,3684.056247,6574.578510,9667.944442,0.000229,0.000103,0.000152,0.000271,0.000354
Mohaka South - McCool 1 Trench,-39.583759,176.388275,3056.052593,1574.907421,2421.276091,6314.571972,11223.510256,0.000327,0.000089,0.000158,0.000413,0.000635
Mokonui Southwest - Viewfield Trench,-40.895351,175.635971,1930.305927,1041.021393,1521.715736,3588.701408,5944.103685,0.000518,0.000168,0.000279,0.000657,0.000961
Oaonui - Oaonui coastal cliff exposure,-39.396492,173.785492,4458.820225,2278.201916,3561.801678,8921.393666,15166.744553,0.000224,0.000066,0.000112,0.000281,0.000439
Ohariu - Taupo Swamp,-41.084667,174.894700,1574.411050,795.757095,1258.230353,3174.190993,4353.969712,0.000635,0.000230,0.000315,0.000795,0.001257
Ohariu - MacKays Crossing Trench,-40.970287,174.983612,2246.675628,1156.619809,1824.401752,4947.264371,8011.205053,0.000445,0.000125,0.000202,0.000548,0.000865
Pihama - Pihama coastal cliff exposure,-39.511650,173.909088,3232.211955,1701.916915,2588.629929,6278.500214,10712.065286,0.000309,0.000093,0.000159,0.000386,0.000588
Porters Pass - Porters Pass Trench 1,-43.297096,171.744019,1718.264555,1044.044292,1426.437874,2835.256335,4324.578707,0.000582,0.000231,0.000353,0.000701,0.000958
Poutu - Poutu transect 6- fault 6d,-39.137951,175.700501,45735.507134,21141.028021,36543.631102,109581.781197,189079.087423,0.000022,0.000005,0.000009,0.000027,0.000047
Ruahine North - Davis Trenches,-39.282070,176.468613,1837.393563,1015.677014,1490.070073,3574.011011,5861.263260,0.000544,0.000171,0.000280,0.000671,0.000985
Titri Central - Clarendon T16/03 trench,-46.057114,170.030579,8600.000000,4500.000000,6900.000000,17500.000000,30900.000000,0.000116,0.000032,0.000057,0.000145,0.000222
Waihi South - Waihi transect 12- fault 5a,-39.132458,175.624512,24874.155577,12705.740911,19955.009223,52749.318253,77086.147587,0.000040,0.000013,0.000019,0.000050,0.000079
Waihi South - Waihi transect 14- fault 6b,-39.122543,175.633163,24744.289982,12718.842371,20053.512545,52633.094014,76513.415510,0.000040,0.000013,0.000019,0.000050,0.000079
Waimana North - Moana trench,-38.086498,177.133118,3204.237956,1343.644372,2517.441667,8361.453729,11633.101507,0.000312,0.000086,0.000120,0.000397,0.000744
Waimana North - Te Hoe / Hautapu Trench,-38.989807,176.785660,1804.629808,760.781965,1391.945777,5130.377587,10519.545521,0.000554,0.000095,0.000195,0.000718,0.001314
Waimana North - Ahirau 1 trench,-38.282352,177.120819,3366.198088,1589.045732,2665.119635,7784.622752,13001.950770,0.000297,0.000077,0.000128,0.000375,0.000629
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3865.971622,900.394863,2925.666796,14980.856874,22165.750161,0.000259,0.000045,0.000067,0.000342,0.001111
Wairarapa - Turakirae Head,-41.435307,174.917267,2652.504414,1574.600637,2179.467505,4381.803280,6475.573206,0.000377,0.000154,0.000228,0.000459,0.000635
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2121.523229,1013.043966,1611.538473,3668.336497,4460.709506,0.000471,0.000224,0.000273,0.000621,0.000987
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2801.253155,1206.518003,2013.400705,4502.557720,5750.942278,0.000357,0.000174,0.000222,0.000497,0.000829
Wairau - Wadsworth Trench,-41.582134,173.509796,1110.169093,530.014579,861.531444,2266.874677,3247.011496,0.000901,0.000308,0.000441,0.001161,0.001887
Wairau - Dillon Trench,-41.570991,173.543320,1970.747773,967.900471,1540.956072,3748.281349,4958.065396,0.000507,0.000202,0.000267,0.000649,0.001033
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2494.658628,1624.170450,2071.850084,3713.342078,5354.834073,0.000401,0.000187,0.000269,0.000483,0.000616
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1342.050010,558.980009,1050.136341,3376.178593,4404.826761,0.000745,0.000227,0.000296,0.000952,0.001789
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1522.400000,856.350000,1236.950000,2569.050000,3901.150000,0.000657,0.000256,0.000389,0.000808,0.001168
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,988.430850,491.514050,775.466507,1975.810986,3343.945554,0.001012,0.000299,0.000506,0.001290,0.002035
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,903.497063,478.798893,734.781352,1828.524582,3131.708005,0.001107,0.000319,0.000547,0.001361,0.002089
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1023.109831,576.070989,827.801599,1817.363307,2859.007211,0.000977,0.000350,0.000550,0.001208,0.001736
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,686.513134,361.456409,549.266961,1401.637930,2528.501243,0.001457,0.000395,0.000713,0.001821,0.002767
Whakatane North - Te Whetu trench,-38.137844,177.014114,8935.526117,5145.815394,7335.426034,16262.300182,26368.195443,0.000112,0.000038,0.000061,0.000136,0.000194
Whakatane South - Thalassa trench,-38.612709,176.968338,2822.234121,1582.324666,2306.766145,5483.163401,9105.370799,0.000354,0.000110,0.000182,0.000434,0.000632
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1065.339409,896.121133,999.123562,1249.272318,1490.592295,0.000939,0.000671,0.000800,0.001001,0.001116
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,251.020934,140.486148,200.388871,417.179677,592.609080,0.003984,0.001687,0.002397,0.004990,0.007118
