Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,335.329077,291.521844,316.132649,384.058472,438.202244,0.002982,0.002282,0.002604,0.003163,0.003430
Akatore - Big Creek trench,-46.147720,170.118515,8489.078890,2844.655329,5771.393472,14252.961151,35576.339050,0.000118,0.000028,0.000070,0.000173,0.000352
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,267.378695,183.908060,230.376248,386.991254,541.885215,0.003740,0.001845,0.002584,0.004341,0.005437
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.313073,203.092189,259.527250,454.130908,658.464749,0.003297,0.001519,0.002202,0.003853,0.004924
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,261.202220,233.555460,251.392080,328.089543,399.436020,0.003828,0.002504,0.003048,0.003978,0.004282
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,334.621534,219.788502,279.915669,453.397330,581.537194,0.002988,0.001720,0.002206,0.003573,0.004550
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,283.904145,146.882546,231.203530,620.016954,985.407883,0.003522,0.001015,0.001613,0.004325,0.006808
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,270.590595,152.201835,221.560907,515.739040,841.009171,0.003696,0.001189,0.001939,0.004513,0.006570
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,387.270525,208.205422,299.090429,560.925807,729.712248,0.002582,0.001370,0.001783,0.003343,0.004803
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,263.016930,223.662383,249.189657,340.662388,442.771483,0.003802,0.002259,0.002935,0.004013,0.004471
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,276.319443,154.413238,223.180841,466.993252,723.308864,0.003619,0.001383,0.002141,0.004481,0.006476
