Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,335.045137,292.333624,316.252071,385.729466,439.261229,0.002985,0.002277,0.002592,0.003162,0.003421
Akatore - Big Creek trench,-46.147720,170.118515,37971.607110,10288.574261,20103.900882,50502.825078,65273.462226,0.000026,0.000015,0.000020,0.000050,0.000097
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,266.553930,183.788764,230.502846,387.908988,544.299608,0.003752,0.001837,0.002578,0.004338,0.005441
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.898958,203.568072,258.999501,456.335386,666.974814,0.003291,0.001499,0.002191,0.003861,0.004912
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,261.051862,233.274409,251.456014,328.222795,399.939129,0.003831,0.002500,0.003047,0.003977,0.004287
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,326.006368,217.187405,272.952283,420.884112,520.021673,0.003067,0.001923,0.002376,0.003664,0.004604
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,283.324286,148.524606,232.860816,653.159307,1250.425584,0.003530,0.000800,0.001531,0.004294,0.006733
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,269.836699,153.793910,222.716294,522.317677,888.028286,0.003706,0.001126,0.001915,0.004490,0.006502
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,370.810352,213.536762,290.807658,479.692069,588.964042,0.002697,0.001698,0.002085,0.003439,0.004683
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,261.451736,223.806218,249.726083,341.062749,443.507929,0.003825,0.002255,0.002932,0.004004,0.004468
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,275.539609,159.095714,222.900588,468.549352,723.768848,0.003629,0.001382,0.002134,0.004486,0.006286
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.359945,172.208297,367.779404,217.747055,295.601680,522.677668,701.094515,0.002719,0.001426,0.001913,0.003383,0.004592
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.359705,172.208785,367.550825,212.652561,292.129157,525.693031,708.975792,0.002721,0.001410,0.001902,0.003423,0.004703
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1005.868072,594.122239,828.626488,1695.746853,2611.949502,0.000994,0.000383,0.000590,0.001207,0.001683
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,1838.947753,1156.774614,1500.695698,2335.932616,2846.145213,0.000544,0.000351,0.000428,0.000666,0.000864
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3161.511499,1883.925845,2600.329015,5227.140639,8044.993109,0.000316,0.000124,0.000191,0.000385,0.000531
Dunstan - T04/2,-45.034107,169.531296,4491.043509,2562.264150,3811.378401,11306.063909,26442.389541,0.000223,0.000038,0.000088,0.000262,0.000390
Te Ikaarongamai - Pakarae River mouth,-38.569973,178.292000,1153.704411,701.786706,935.461227,1627.666882,2152.332316,0.000867,0.000465,0.000614,0.001069,0.001425
Gable End North - Puatai Beach trench,-38.464764,178.418500,979.239041,573.049839,786.132699,1425.381281,1953.649205,0.001021,0.000512,0.000702,0.001272,0.001745
Hohonu South - Lower Mikonui River exposure,-42.909340,170.772720,16373.182425,7647.583224,13144.023666,42275.158004,83773.283335,0.000061,0.000012,0.000024,0.000076,0.000131
Inglewood - Egmont Road trenches,-39.172672,174.148392,6041.496374,3148.633338,4970.521548,14203.063150,26537.738731,0.000166,0.000038,0.000070,0.000201,0.000318
Inglewood - Everett Park trench,-39.124008,174.284409,6060.467064,3142.682058,4949.511266,14203.406809,26509.378718,0.000165,0.000038,0.000070,0.000202,0.000318
Kekerengu 1 - Kekerengu Trench 1,-41.970585,174.027832,407.303774,220.744831,316.110425,586.710297,761.944576,0.002455,0.001312,0.001704,0.003163,0.004530
Kina - Kina Fault trench,-39.377590,173.866852,1895.702041,1012.345132,1473.226998,2855.872594,4008.077258,0.000528,0.000249,0.000350,0.000679,0.000988
Lachlan 3 - Table Cape trenches,-39.105190,177.999466,1188.578899,670.342150,979.938130,2321.520710,3963.725474,0.000841,0.000252,0.000431,0.001020,0.001492
Mohaka South - McCool 1 Trench,-39.583759,176.388275,3038.565916,1560.052129,2420.958891,6351.185414,11254.610886,0.000329,0.000089,0.000157,0.000413,0.000641
Mokonui Southwest - Viewfield Trench,-40.895351,175.635971,1938.355459,1052.874700,1558.863705,3605.819226,5951.768249,0.000516,0.000168,0.000277,0.000641,0.000950
Oaonui - Oaonui coastal cliff exposure,-39.396492,173.785492,4744.413144,2494.283057,3746.529366,9068.576180,15682.002001,0.000211,0.000064,0.000110,0.000267,0.000401
Ohariu - Taupo Swamp,-41.084667,174.894700,1577.681991,808.705792,1287.406207,3660.538050,6929.960031,0.000634,0.000144,0.000273,0.000777,0.001237
Ohariu - MacKays Crossing Trench,-40.970287,174.983612,2255.756901,1171.070697,1836.804028,5165.470686,9745.256880,0.000443,0.000103,0.000194,0.000544,0.000854
Pihama - Pihama coastal cliff exposure,-39.511650,173.909088,5369.288570,2733.716913,4082.561667,8004.860227,10702.549734,0.000186,0.000093,0.000125,0.000245,0.000366
Porters Pass - Porters Pass Trench 1,-43.297096,171.744019,1715.427199,1047.669932,1429.245513,2843.319726,4335.953617,0.000583,0.000231,0.000352,0.000700,0.000954
Ruahine North - Davis Trenches,-39.282070,176.468613,1837.390721,1021.074380,1498.452357,3598.915458,6167.208977,0.000544,0.000162,0.000278,0.000667,0.000979
Titri Central - Clarendon T16/03 trench,-46.057114,170.030579,10205.444738,5187.954235,8158.308613,21966.442477,42919.482817,0.000098,0.000023,0.000046,0.000123,0.000193
