Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,335.566276,292.625291,316.559611,386.954668,443.270715,0.002980,0.002256,0.002584,0.003159,0.003417
Akatore - Big Creek trench,-46.147720,170.118515,11516.866943,7234.399632,11714.519280,52957.973690,77203.327081,0.000087,0.000013,0.000019,0.000085,0.000138
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,266.626546,183.945039,229.973919,386.813065,541.947438,0.003751,0.001845,0.002585,0.004348,0.005436
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.017492,203.702342,259.393080,454.310665,654.797323,0.003300,0.001527,0.002201,0.003855,0.004909
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,260.297492,231.882410,250.825798,326.599351,400.650777,0.003842,0.002496,0.003062,0.003987,0.004313
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,333.575032,218.827117,278.398375,450.276102,577.231242,0.002998,0.001732,0.002221,0.003592,0.004570
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,282.436391,148.525638,231.479202,620.175901,989.911786,0.003541,0.001010,0.001612,0.004320,0.006733
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,270.601986,152.460871,223.101950,517.845764,844.256268,0.003695,0.001184,0.001931,0.004482,0.006559
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,383.921774,206.440143,297.593851,556.041422,722.262890,0.002605,0.001385,0.001798,0.003360,0.004844
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,262.506653,223.020701,250.096782,340.350386,444.142030,0.003809,0.002252,0.002938,0.003998,0.004484
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,276.065968,154.274707,222.977469,466.559990,722.633923,0.003622,0.001384,0.002143,0.004485,0.006482
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.349945,172.223297,387.563362,225.345491,310.625743,559.050827,755.566192,0.002580,0.001324,0.001789,0.003219,0.004438
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.349705,172.223785,387.555290,219.775662,306.909834,562.750591,762.973793,0.002580,0.001311,0.001777,0.003258,0.004550
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1010.673216,597.333228,829.546704,1693.380836,2594.369123,0.000989,0.000385,0.000591,0.001205,0.001674
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,2002.075850,1183.506265,1596.616149,2708.442750,3442.860322,0.000499,0.000290,0.000369,0.000626,0.000845
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3146.305272,1886.367626,2593.701041,5201.993011,8031.326672,0.000318,0.000125,0.000192,0.000386,0.000530
Dunstan - T04/2,-45.034107,169.531296,4516.190733,2561.283746,3794.107972,9993.452652,15523.549894,0.000221,0.000064,0.000100,0.000264,0.000390
