Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,336.132228,292.861474,317.945969,386.928329,443.368442,0.002975,0.002255,0.002584,0.003145,0.003415
Akatore - Big Creek trench,-46.147720,170.118515,11474.718822,7231.463424,11893.067946,52891.282071,77036.002926,0.000087,0.000013,0.000019,0.000084,0.000138
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,267.428359,183.942701,230.419253,387.062447,541.984287,0.003739,0.001845,0.002584,0.004340,0.005436
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.637853,202.165434,258.021811,453.519131,654.602089,0.003293,0.001528,0.002205,0.003876,0.004946
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,261.594681,231.873691,251.048523,327.747852,400.612214,0.003823,0.002496,0.003051,0.003983,0.004313
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,334.891483,219.366902,279.076236,450.416064,576.757554,0.002986,0.001734,0.002220,0.003583,0.004559
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,284.261091,148.323263,230.126558,622.301178,1000.039923,0.003518,0.001000,0.001607,0.004345,0.006742
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,270.259851,152.801483,221.003116,516.543526,849.973732,0.003700,0.001177,0.001936,0.004525,0.006544
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,386.914600,206.386377,297.368770,555.950310,720.676327,0.002585,0.001388,0.001799,0.003363,0.004845
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,261.583449,223.956526,249.757845,340.062460,443.267735,0.003823,0.002256,0.002941,0.004004,0.004465
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,295.594273,186.447799,247.332227,467.110160,646.793471,0.003383,0.001546,0.002141,0.004043,0.005363
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.349945,172.223297,389.232277,225.089840,309.585103,557.530218,750.068604,0.002569,0.001333,0.001794,0.003230,0.004443
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.349705,172.223785,388.843044,219.329618,306.507951,562.507820,759.005017,0.002572,0.001318,0.001778,0.003263,0.004559
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1004.639900,593.781470,824.600813,1692.481540,2597.293363,0.000995,0.000385,0.000591,0.001213,0.001684
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,1997.475310,1187.875040,1598.441559,2710.200334,3429.845018,0.000501,0.000292,0.000369,0.000626,0.000842
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3177.334387,1904.671285,2577.021603,5218.397854,8003.849173,0.000315,0.000125,0.000192,0.000388,0.000525
Dunstan - T04/2,-45.034107,169.531296,4527.587738,2524.788024,3774.241057,10095.003457,16011.531052,0.000221,0.000062,0.000099,0.000265,0.000396
Te Ikaarongamai - Pakarae River mouth,-38.569973,178.292000,1165.255211,673.081206,928.479609,1753.203616,2402.341222,0.000858,0.000416,0.000570,0.001077,0.001486
Gable End North - Puatai Beach trench,-38.464764,178.418500,962.353943,515.106117,743.356732,1440.446447,1773.568965,0.001039,0.000564,0.000694,0.001345,0.001941
Hohonu South - Lower Mikonui River exposure,-42.909340,170.772720,16258.219292,7517.916005,12934.441985,41494.306248,77932.753756,0.000062,0.000013,0.000024,0.000077,0.000133
Inglewood - Egmont Road trenches,-39.172672,174.148392,6053.538727,3098.750480,4903.201318,13158.563902,19789.920732,0.000165,0.000051,0.000076,0.000204,0.000323
Inglewood - Everett Park trench,-39.124008,174.284409,6046.915481,3097.546336,4889.015002,13016.165532,19351.847397,0.000165,0.000052,0.000077,0.000205,0.000323
Kaiapo - Te Mihi outcrop,-38.620430,176.050125,5596.395851,2881.060745,4521.982680,11867.061814,17414.940736,0.000179,0.000057,0.000084,0.000221,0.000347
Kaiapo - Lilburn trench fault zone A,-38.620167,176.052017,2765.999347,1279.108332,2184.172428,7054.279231,13346.629615,0.000362,0.000075,0.000142,0.000458,0.000782
Kekerengu 1 - Kekerengu Trench 1,-41.970585,174.027832,408.067496,215.443530,316.118077,632.907317,857.075975,0.002451,0.001167,0.001580,0.003163,0.004642
Kina - Kina Fault trench,-39.377590,173.866852,1999.385780,1024.437763,1529.233183,3152.496885,4508.515954,0.000500,0.000222,0.000317,0.000654,0.000976
Lachlan 3 - Table Cape trenches,-39.105190,177.999466,1192.760130,668.799579,972.335346,2215.386584,3241.626559,0.000838,0.000308,0.000451,0.001028,0.001495
Maleme - Huffadine trench,-38.298466,176.229462,4387.336857,2787.961451,3673.769368,6577.250873,9677.578583,0.000228,0.000103,0.000152,0.000272,0.000359
Mohaka South - McCool 1 Trench,-39.583759,176.388275,3051.927568,1566.118617,2435.860442,6349.698655,11205.757178,0.000328,0.000089,0.000157,0.000411,0.000639
Mokonui Southwest - Viewfield Trench,-40.895351,175.635971,1919.881967,1012.745835,1552.124076,3611.568268,5916.184387,0.000521,0.000169,0.000277,0.000644,0.000987
Oaonui - Oaonui coastal cliff exposure,-39.396492,173.785492,4814.315422,2529.971880,3807.239237,9063.685666,15253.519780,0.000208,0.000066,0.000110,0.000263,0.000395
Ohariu - Taupo Swamp,-41.084667,174.894700,1576.961545,797.132569,1262.123760,3199.587055,4449.250881,0.000634,0.000225,0.000313,0.000792,0.001254
Ohariu - MacKays Crossing Trench,-40.970287,174.983612,2262.698286,1165.353338,1829.800738,4970.824810,8111.848882,0.000442,0.000123,0.000201,0.000547,0.000858
Pihama - Pihama coastal cliff exposure,-39.511650,173.909088,5382.686040,2691.343020,4121.525301,8672.105287,12000.529505,0.000186,0.000083,0.000115,0.000243,0.000372
