CFM #,Fault,#,MRE average (years before 2022),Rupture Lat bound 1,Rupture Lon bound 1,Rupture Lat bound 2,Rupture Lon bound 2,Whole section (Y/N)
599,Alpine: George to Jacksons,1,305,-44.52346,167.8427,-44.06347,168.7069,N
598,Alpine: Jacksons to Kaniere,1,305,-44.06192,168.71043396,-42.97275543,170.9916687,N
598,Alpine: Jacksons to Kaniere,2,196,-42.94749451,171.0398,-42.89256,171.1434,N
597,Alpine: Kaniere to Springs Junction,1,196,-42.889,171.15,-42.83171,171.24432373,N
597,Alpine: Kaniere to Springs Junction,2,305,-42.82728577,171.2516,-42.57966995,171.78401184,N
597,Alpine: Kaniere to Springs Junction,3,552,-42.57019806,171.80465698,-42.41965866,172.10569763,N
597,Alpine: Kaniere to Springs Junction,4,197,-42.41342,172.1163,-42.3563,172.2127,N
596,Alpine Springs Junction to Tophouse,1,197,,,,,Y
599,Alpine: George to Jacksons,2, ≥180,-44.68208,167.5389,-44.53292,167.8289,N
607,Alpine: Resolution - Five Fingers ,, ≥180,,,,,Y
606,Alpine: Resolution - Dagg ,, ≥180,,,,,Y
605,Alpine: Nancy ,, ≥180,,,,,Y
604,Alpine: Resolution - Charles ,, ≥180,,,,,Y
603,Alpine: Caswell ,, ≥180,,,,,Y
602,Alpine: Caswell - South George ,, ≥180,,,,,Y
601,Alpine: George seaward ,, ≥180,,,,,Y
600,Alpine: George landward ,, ≥180,,,,,Y
578,Kekerengu 1 ,,6,,,,,Y
570,Needles,,6,,,,,Y
586,Upper Kowhai – Manakau,,6,,,,,Y
581,Papatea,,6,,,,,Y
627,Offshore Splay Thrust,,6,,,,,Y
629,Stone Jug ,,6,,,,,Y
624,Leader: North,,6,,,,,Y
625,Leader: Central,,6,,,,,Y
626,Leader: South,,6,,,,,Y
633,The Humps,,6,,,,,Y
583,Jordan,1,6,-42.19665909,173.7262,-42.09848,173.8159,N
583,Jordan,2, ≥180,-42.32239,173.6645,-42.20885,173.7241,N
582,Fidget,,6,-42.13864517,173.626,-42.11673,173.7156,N
630,Hundalee,1,6,-42.62505,173.3323,-42.50554,173.5134,N
568,BooBoo,, ≥180,,,,,Y
553,Hope: Hurunui ,,265,,,,,Y
